,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10
chr1-16618890-16619620,0.0500666,0.36350432,-0.3513466,0.25503516,0.13862412,0.35265005,0.21051042,0.37727076,-0.09626211,-0.3390113,-0.07687999,-0.15800554,0.68118,-0.6795887,-0.021333616,-0.12916905,0.081957154,-0.045188736,-0.10264871
chr1-17097324-17097958,0.25667918,0.45313308,-0.017413346,-0.08262241,-1.2687291,0.43988642,0.15109542,-0.11982413,0.66500276,0.010464666,-0.1887223,-0.38072094,0.4794298,0.4531936,-0.07173038,-0.037799392,-0.046805203,-0.40462193,-0.45079994
chr1-17145180-17146056,0.2839647,-0.30901167,-0.097912095,0.38305804,0.45955065,-0.43327937,0.010963292,-0.6418184,-0.5243421,0.42164376,-0.0630525,-0.5409163,-0.098801374,0.17362565,0.051720463,0.0015201288,-0.63134056,-0.037729006,0.22355732
chr1-18058045-18058842,0.40627843,-0.5861781,0.10375667,0.22864704,-0.058542404,-0.9193963,0.4625599,-1.1133868,0.06442396,0.03570921,0.02442071,-0.6838564,0.22172612,0.3243076,0.061411537,-0.096235886,-1.3105308,-0.07252832,-0.006721343
chr1-20951260-20952123,0.10204079,-0.23053877,-0.17203152,0.18552761,-0.008837823,0.2510095,0.31839547,0.41069758,-0.28504488,-0.122862525,0.006778681,0.07089086,0.020998647,-0.054435182,-0.0055818195,-0.0076215346,-0.1996013,-0.025467804,-0.005490785
chr1-21166246-21167076,0.14599526,0.23084392,-0.88735163,0.29228184,0.07324112,0.22015464,0.055535004,0.08529625,-0.55073225,0.3053495,-0.0388359,-0.2847701,-0.094167724,-0.019252678,0.009411547,0.004087992,0.12634136,-0.17151456,0.01612835
chr1-21218339-21219203,0.19289927,-0.6079731,0.014320941,0.16336663,0.041633714,0.54527646,0.014686594,0.29718718,-0.2854741,-0.022880415,-0.0302002,-0.4917835,0.016592182,-0.024890034,-0.008545264,-0.013702933,0.0060994923,-0.011579825,0.28221035
chr1-22533175-22534057,0.5037519,0.30736417,-0.8424429,0.27124804,0.34126663,0.6166568,0.37014195,-0.7908563,-0.70099276,-0.2899904,0.17055197,-0.89070433,-0.084916145,-0.710573,0.09488827,-0.41440147,-0.59906286,0.053166028,0.31773028
chr1-24005126-24005981,0.35695615,0.38404596,-0.44484496,0.24980524,-0.19769077,0.35831326,-0.4140747,0.31440404,-0.0043938113,-0.45921138,-0.02488071,0.10792224,-0.025524251,-0.01524512,-0.016140781,0.015381815,0.45717755,0.014389034,-0.06707727
chr1-24587112-24587586,0.53298306,-0.67115915,0.44662026,0.37176555,-0.52204037,-0.44386464,0.44232002,-0.862704,0.60978705,-0.13042909,-0.07285235,-0.33232486,-0.058240034,0.46388096,-0.014661508,-0.12157879,-0.849306,-0.04781248,-0.08470963
chr1-24612381-24613259,-0.7719749,0.10040607,-1.1401663,-0.8115326,-0.113197096,-1.2721287,0.12458005,0.90775186,-0.962804,1.2762843,-1.0629357,-0.32628435,-0.48623365,-1.6949816,2.0105991,1.0218512,-1.0243354,-1.5028753,-1.1679037
chr1-24678290-24679120,-0.3218993,0.48545286,-0.36910567,-0.080728896,0.10457811,0.6563397,-0.06811272,0.460614,-0.30431095,-0.17632815,-0.008036348,0.23036414,-0.0064594247,-0.03909877,-0.0044800015,-0.04523728,0.44054773,-0.0005759123,0.029605947
chr1-25226414-25227228,0.3790798,-0.32295933,0.40746227,0.6607541,-0.17387477,-0.8140404,0.07624846,-0.33707273,0.17015268,-0.4920095,0.058328297,-0.6287804,0.0869845,0.01717924,0.0050137206,0.019749278,-0.32846448,-0.035715524,-0.17735398
chr1-32172406-32173249,0.38714853,-0.07673723,0.059633397,0.72867864,-0.15307514,0.15157539,0.027525231,-0.78510284,-0.044195335,-0.15202084,0.013397,-0.4685841,0.03435993,0.086318895,0.0073093767,-0.06906202,-1.1636966,-0.04797341,0.077651665
chr1-32174671-32175571,-0.6106402,-0.5341509,-0.13282461,0.94906706,0.05023984,-0.90302455,0.40318447,-0.5613101,0.41700596,-0.7209926,0.10301987,-0.8549606,0.41491696,0.2114851,0.0038766754,0.09113572,-0.5912835,0.18957451,-0.36888653
chr1-33719658-33720551,0.09375166,0.080873154,-0.17014033,-0.0912364,0.1353264,0.5294154,0.09790751,0.5081342,-0.5230519,-0.049036447,0.045339152,-0.9846849,0.039816327,-0.24861452,-0.0066987113,-0.044522617,-0.0767868,0.0054635364,0.021742288
chr1-33813768-33814675,0.037606593,0.4953683,0.06514062,0.076027565,-0.17383456,0.42927358,0.09651054,0.09778907,-0.14325355,-0.26598468,-0.025608378,-0.082389124,0.0047093634,-0.084536985,-0.00458883,-0.002508459,0.032811932,0.010377761,0.026342612
chr1-33907388-33908253,-0.20687225,-0.08173304,0.008334567,0.3109597,0.19997458,0.45096934,-0.24686772,0.3435087,0.3427798,-0.44960418,-0.0013247916,0.33218333,0.26110014,-0.80123085,-0.031266272,-0.08006162,-0.02669676,-0.029466847,-0.21812372
chr1-34434653-34435562,0.38204727,0.024386488,0.10289626,0.1817112,-0.20188431,-0.48887345,-0.02765041,-0.36968398,0.2245892,-0.018134298,-0.0016792786,-0.0815764,-0.041483063,-0.01833279,0.004876799,-0.0045850575,0.0057656732,0.024799036,-0.006367111
chr1-34439164-34440067,-0.031997908,0.5134735,-0.28436086,-0.04656902,-0.23067026,0.4117363,0.14601453,0.5831301,-0.37574401,-0.06883893,-0.32455105,0.05765635,0.08846161,-0.22723044,-0.06523901,-0.005527857,0.65082735,0.38279518,0.12888771
chr1-34801918-34802567,0.3623871,-1.3632679,0.0279138,0.27232125,0.2782782,-0.74896026,0.28050327,-0.53564745,0.08476499,0.10861965,0.008948625,-0.09196058,0.07054459,-0.058899727,0.011434355,-0.011345838,-1.3119954,0.009733154,0.06590121
chr1-34803282-34804007,0.6793331,-1.2336023,0.49516606,0.26779112,-0.068959445,-1.3572022,-0.2781585,-0.98000765,1.3216674,-0.81719315,0.12534812,-0.6818438,-0.47483474,0.8657723,-0.0086753825,0.21871851,-0.45851937,0.0149071235,-0.32063717
chr1-36243666-36244540,0.034524933,0.680559,-0.28774148,-0.06959291,-0.13505717,0.24349833,-0.49996898,0.18617614,0.09570969,0.15362515,-0.027716253,0.051891647,0.02179692,-0.24475335,0.030437605,-0.090636715,0.22982213,-0.040827084,-0.21232116
chr1-36309164-36310053,-0.9194839,1.1997836,-0.70868045,-1.5018301,-0.1886592,0.7242158,-0.6015082,1.3138525,-1.166434,-0.20631416,-0.45736954,-0.048673928,-0.68719107,-0.01964834,0.087401584,-0.28651157,1.0748718,0.16833825,0.0062388894
chr1-37299688-37300564,0.35346058,0.4360097,-0.40234932,0.11557943,0.02023339,-0.084884755,-0.22345383,0.012794743,-0.042968847,-0.44612107,-0.07476258,-0.045329053,0.013269892,-0.043077815,0.020077761,0.002648706,0.11320636,-0.111555256,0.028487457
chr1-37300960-37301637,0.6404586,-1.0173104,0.16089776,0.80500144,-0.0074060583,-1.3215344,0.29067317,-0.85345757,0.13822685,-0.96694624,-0.057939433,-0.37154192,0.2648766,-0.17962287,0.11957396,-0.014713603,-0.7657548,-0.24867536,0.33605808
chr1-37429603-37430508,0.12082037,0.39206576,-0.19670069,-0.4366856,0.081587404,0.37247205,0.0020341822,0.4714796,-0.4859417,-0.110686705,-0.78059435,0.43733683,-0.22626996,-0.3760457,-0.0086942725,0.039738044,0.50516427,0.0068240017,0.011632273
chr1-37725696-37726486,0.82023096,-0.4712063,0.22253458,0.91102016,0.2450634,-1.2012916,0.044827968,-0.90317166,-0.2539921,-0.17929828,0.21194713,-0.6117211,0.16335486,-0.3621888,0.0109269135,0.11326426,-0.631267,-0.2060621,0.4625234
chr1-39650528-39651192,-0.06681384,-0.39729545,0.4009718,-0.04051954,0.25085422,-0.25103587,0.31763172,-1.0897683,0.1966068,0.07890263,-0.03904974,0.21193568,0.03377932,0.23249155,-0.0005389439,-0.063443206,-0.96247214,-0.032807726,-0.10330369
chr1-39720668-39721526,-0.39232388,0.35804316,0.28297305,-1.2780236,0.4400494,0.13559048,-1.1545395,0.64664054,-0.25982207,0.81206244,-0.1384324,-0.32624093,-0.215907,0.3154605,-0.043466657,0.043166745,0.74490553,-0.3615482,-0.45840374
chr1-40085213-40086061,0.06919215,0.27599302,0.06405119,0.59912944,0.6734368,-0.12114499,0.25772572,-1.0695541,-0.17079721,-1.0586734,-0.05543425,-0.63740677,7.705123e-05,0.26604214,-0.011792346,-0.06586944,-0.8737517,0.046592128,-0.0023372823
chr1-43098225-43099135,0.13914415,0.27497312,-0.26198813,-0.033857852,-0.18260162,0.5093005,-0.18584765,0.6145498,-0.11754635,0.0916285,-0.7227559,0.559588,-0.45022303,0.23397358,-0.0008986448,-0.062958024,0.5240362,-0.070250206,-0.12262058
chr1-43163284-43164176,0.3016874,-0.3347799,0.25905138,-0.41430807,-0.21878019,0.048669014,-0.35698867,-0.9342465,0.76289386,0.4291237,-0.17837334,-0.8879257,0.18324995,-0.025936507,0.00949146,-0.36231512,-0.41396338,-0.012674383,0.793836
chr1-44119429-44120155,0.14882942,0.41048265,-0.17507459,-0.20111726,-0.29672316,0.27263942,0.3694886,0.13521692,-0.24000391,-0.14873636,-0.5782153,0.42491314,0.20626791,-0.37978142,0.006829999,-0.24457599,0.20962448,0.6053278,-0.39775822
chr1-44198239-44198924,1.299611,-1.2232243,0.65618974,0.2735816,-0.2617633,-1.1974308,-0.018346772,-1.4122611,0.57138395,-0.16088033,0.37541547,0.10969498,0.4680861,-0.47074527,-0.039592683,0.07364866,-0.7154505,-0.052275725,-0.37505242
chr1-50926959-50927822,0.119366586,0.18644059,-0.21371257,0.19089004,0.20127979,0.6204894,-0.23722407,-0.602915,0.033574842,-0.11073322,0.74863255,-0.56457645,0.1393863,-0.11318963,-0.13716224,-0.036412913,-0.96207225,0.40782586,-1.2217877
chr1-51478003-51478872,0.23042719,0.30054274,-0.2813574,0.08474604,-0.51620704,0.1584909,0.18918663,0.4684127,-0.5467404,0.1752764,-0.023721451,0.22076818,-0.043489404,-0.08046472,0.011325952,-0.012337582,0.065193065,-0.013242313,-0.17047226
chr1-52113313-52114156,-0.36592323,0.40786868,-0.6017154,-0.020457355,0.24412018,0.27078706,-0.031669013,-0.3659742,-0.8787197,0.88933724,-0.16246451,0.0032086114,0.021480998,0.16223992,-0.009164166,0.020528909,0.05676625,-0.15194945,0.24490725
chr1-52816886-52817771,-0.34301546,0.42768425,0.123766914,-0.14261205,0.43239433,0.21639238,-0.30104792,0.37562525,-0.27581084,-0.4607765,-0.06734924,0.30279517,-0.47738773,0.1370533,0.01712559,-0.043576397,0.32545865,-0.01969692,-0.046954572
chr1-52952451-52953327,-0.36648944,0.16292092,-0.05136396,0.05825946,0.15271838,0.03931744,0.29529968,-0.68444383,0.4399756,-0.5098987,0.15265624,0.1802066,-0.17962094,-0.11441375,0.013983501,-0.061763167,-0.98944384,0.08221683,-0.2642992
chr1-53352130-53353017,0.2724378,0.1259635,-0.4308217,-0.20552301,-0.2578336,0.44771314,-0.22363271,0.90544736,0.021047795,0.3141062,-0.014520153,0.18670924,-0.25154865,0.014820788,-0.013578465,-0.016435929,0.29835686,-0.08068159,-0.121622145
chr1-54438415-54439252,-0.20156015,0.0027833239,-0.14739533,0.23464268,0.012388975,0.39080063,0.04472738,0.5875518,-0.56867933,-0.28921795,-0.016883483,0.19566983,-0.012380474,0.08475636,-0.0005585243,-0.032075398,-0.29934207,-0.015460108,-0.13193072
chr1-54925770-54926566,-0.88914335,0.7371018,-0.45193902,-0.37019125,0.124427594,0.6785279,-0.31664228,0.46938297,-0.2252312,0.22521883,-0.21320133,-0.044739705,-0.16830589,-0.5089698,0.022275707,0.019496579,0.5003472,0.020283503,-0.038758863
chr1-55087528-55088436,0.09849712,0.6696347,-0.42057306,-0.043788392,0.0357029,0.36082637,0.23279104,0.5458953,-0.13833347,-0.4786195,0.019545361,0.006520994,-0.31258735,-0.07767375,0.022034677,-0.672517,0.39088488,-0.69138664,-0.5471085
chr1-55237134-55237975,0.2946713,0.03316438,-0.23399092,0.047967166,-0.044530574,0.27380154,0.40309083,0.65977454,-0.18443327,-0.53906494,-0.028601598,0.047396872,-0.016909748,-0.18009037,-0.0072819428,-0.011815772,0.39336443,-0.0060294145,0.012512335
chr1-56969323-56970100,-0.9915231,-0.31258133,1.3992089,-1.5429142,-1.1240623,-1.3639183,-1.7314198,-1.3733251,1.7307467,0.9357217,-0.21454504,-1.1110176,-0.57242894,0.1422108,-0.11663219,0.08457967,-0.2993604,-0.72102684,-0.018646885
chr1-57377483-57378370,-0.09140186,0.4704473,-0.35307482,0.14423747,-0.08443299,0.4407998,-0.07362168,0.1491759,0.03169519,-0.17535584,-0.00584893,-0.0059986673,0.0099722175,-0.046408985,0.0032710773,-0.008368854,0.053802073,0.003892561,0.0024967564
chr1-58444967-58445914,-0.19376327,0.65063626,-0.1497979,-0.24294923,0.12329508,0.49569476,0.033333782,0.2131685,-0.4674126,-0.36946964,0.0022766565,0.23808382,0.008465846,0.068907425,-0.0014432222,-0.22779068,0.32558715,-0.03397016,-0.009733761
chr1-62702920-62703806,-0.91600055,0.41414246,-0.03131148,-0.41878283,0.30838323,0.30136475,-0.33626214,0.6495342,-0.3625063,0.5077994,-0.0600208,0.16440712,0.07205753,-0.13568802,-0.0654038,-0.080125086,0.6892176,0.07776798,-0.08917686
chr1-62706271-62707126,-0.61482567,0.38706318,0.04127939,-0.09981721,0.48427457,0.17833756,-0.23543952,0.59973574,-0.5438955,-0.13586055,-0.016207883,0.17552285,-0.23035023,0.013106981,-0.014011798,-0.0054367655,0.58449745,-0.024518147,-0.044383954
chr1-64616958-64617783,-0.04881536,0.5268267,-0.49656793,0.036091574,-0.01911284,0.21435015,-0.05970133,0.34603918,-0.26461688,0.20999214,-0.057400595,0.23444514,0.0036258395,-0.056172356,0.016197553,-0.18145286,0.287963,-0.00032421242,-0.19707696
chr1-66321509-66322456,0.08865868,-1.008868,0.4888984,0.26845768,0.31048858,-0.4832006,-0.16872923,-0.094495654,0.17092216,0.042145174,0.20368613,-0.91627717,0.031346858,-0.28610125,-0.024292007,0.010067277,-0.42582536,-0.068581104,0.30305114
chr1-66467839-66468716,0.14407973,-0.63399816,0.15146753,0.18149674,0.012434173,0.032334752,0.2925526,-0.6307495,-0.008818943,-0.10775726,-0.01855059,-1.1441672,0.17248078,0.141663,-0.009773236,-0.007582601,-0.68169016,0.00037273875,0.06640295
chr1-72211698-72212571,-0.1521014,0.16485904,0.22074239,-0.39198434,-0.3403462,0.6873155,-0.9064639,0.7430832,0.002040277,0.2692416,-0.28465977,0.59787005,-0.00033582016,-0.20193058,0.004725705,-0.4775512,0.68978834,-0.15807313,-0.5121026
chr1-72225595-72226508,0.22057983,0.48452637,-0.1908074,0.29568368,-0.40463805,0.65847826,0.21346822,-0.106956534,-0.25153425,0.41820282,-0.15160881,-0.3496966,-0.74625224,-0.819475,-0.03923601,-0.057984814,0.85741735,-0.063623406,-0.24972352
chr1-72578321-72579278,0.76640505,-0.9693926,0.8713465,0.299228,0.07011678,-1.3811659,0.46307307,-0.91328436,-0.7804393,0.67501396,-0.18444,0.29028156,0.05482777,-0.25600988,-0.05139509,-0.13458486,-0.25776738,-0.312428,0.29975978
chr1-74034508-74035317,0.624404,0.45323682,-0.86357236,-0.6904845,-0.8642272,0.31490263,-0.1272199,1.5439665,-0.37819788,0.0011237719,-0.17915864,0.034027375,-0.5117367,-0.8495168,-0.076012924,-0.2759655,1.1062503,-0.28755358,0.19595686
chr1-74036556-74037419,0.7121407,0.68146133,-0.8587767,-0.95311606,-0.50259703,0.086766906,-0.08881968,1.3545917,-0.89180684,-0.0567908,-0.48425984,0.13160983,-0.76891357,-0.4557735,-0.24037519,-0.42937142,1.5133802,-0.34707215,-0.4065801
chr1-74236209-74236892,0.04680338,0.12312947,-0.30154246,-0.10941153,0.022213453,0.49122614,-0.14360733,0.64413476,0.008854777,-0.47360522,0.0052905376,0.4063817,-0.13367423,-0.06280136,-0.0068446524,-0.0028048924,0.4625594,-0.0006395747,0.0045698616
chr1-74713153-74714113,-0.55121624,0.910758,-1.1239614,-1.1708255,-0.10247355,1.399704,-0.68460727,0.813256,-0.20947011,-0.098561786,-0.1637437,0.14565863,-0.21987319,-0.1973249,-0.07961293,-0.21370183,0.9147644,-0.260512,-0.493595
chr1-74791372-74792304,0.24826206,-0.04505433,0.23268527,0.13067605,-1.0542163,-0.50821346,-0.20807752,-0.1396032,1.3585938,-0.33405635,-0.22979455,0.07908033,-0.35875362,0.8658594,0.015709924,0.094527856,-0.7461743,-0.15033302,-0.37443236
chr1-74816695-74817586,-0.65969235,-0.29289675,0.20128581,-0.0054456694,0.09421365,0.2534248,0.08095012,0.07124357,-0.0172694,-0.06678572,-0.0356466,-0.3564905,-0.06067383,0.004340975,0.0039818585,0.0028699492,0.14623672,0.006878887,0.018096955
chr1-74850031-74850867,0.68613505,-1.1403422,-0.2402584,0.80646175,-0.7449188,-0.7671123,0.42454785,-0.58719605,0.43801925,0.19018473,0.54296106,-0.88580996,0.094598405,-0.6839326,0.04744082,0.15158065,-1.229122,-0.12789308,0.21042591
chr1-74851088-74851880,1.022068,-1.0475681,0.7029527,0.25202388,-0.28411487,-1.6054614,1.0071393,0.23683602,0.048112344,-0.57766163,-0.3218023,-0.71464175,-0.20013788,-0.28763813,-0.18302135,0.26554748,-0.45393452,0.63552296,-0.3406604
chr1-74854466-74855304,0.15581827,0.07935919,0.18924199,0.14017214,0.23744053,-0.38581452,0.18756333,-1.0208452,-0.050758835,0.17789559,0.03481106,-0.7151983,-0.15622057,0.031105066,-0.010092977,-0.0005194172,-0.9240131,-0.0017283444,0.059642095
chr1-75217163-75218009,0.20652413,-0.3916472,0.39423516,0.37692004,-0.084878266,-0.6894193,0.1624422,-0.8865227,0.81468135,0.3108744,0.06916163,-0.44202256,-0.067713805,-0.3623487,-0.030842079,-0.029280575,-0.025901102,-0.10145011,-0.12573396
chr1-75218845-75219599,-0.06726686,-0.29410768,0.00041322323,0.20925869,-0.0428966,-0.10626751,0.106434114,-0.016702969,0.18814087,-0.15197714,-0.0073784315,-0.015118553,0.028189858,-0.009699868,-0.00034224274,0.0058533014,-0.058089215,0.00022319212,-0.0010055621
chr1-75246839-75247722,-0.63354504,-0.6880227,0.6346742,-0.8212418,0.075364225,-0.50491107,-0.71131736,-0.014962108,0.32595602,0.8361183,-0.020446341,-0.07751565,0.10471099,0.2863422,0.06047416,0.35392037,-0.5203035,-0.17445506,-0.6171401
chr1-75263096-75263879,0.028896807,-0.8207069,0.39675316,0.8733774,0.11061778,-0.97957385,0.35564733,-1.7554183,0.4002237,0.104996935,0.6849721,-0.5407308,0.08399702,-0.23183312,0.18217039,0.013560537,-1.5925084,-0.18009007,-0.70001566
chr1-75277375-75278177,-0.60074514,-1.249208,0.012472482,-0.80794513,1.5584733,-1.3534223,-0.9749275,-1.0701792,1.3452716,0.20853803,-0.23765196,-0.44640774,-0.5268934,-0.19131811,-0.104380235,0.31944424,-0.4748989,0.21968363,0.3132863
chr1-75435708-75436595,-0.16888718,0.83948886,-0.033977766,-0.35316795,-0.5225362,0.36175647,-0.57839286,0.7536609,-0.17953767,0.22861111,-0.1026499,-0.22084574,-0.04924504,-0.20192064,0.022996478,0.009944343,0.4578632,-0.063864544,-0.27561823
chr1-75487180-75488121,-0.19297524,-0.32374662,-0.20928562,0.10236374,0.22049522,-0.52359754,-0.026646458,0.1295786,-0.22877215,0.07702076,-0.025971292,0.03095416,-0.018692447,0.023692582,0.011451966,0.005425642,-0.43779537,-0.03293183,0.013177674
chr1-78310193-78310583,0.87972313,-0.5953662,-0.11872806,0.13774648,-0.12497761,-1.6268901,0.3340832,0.060621623,-0.20368622,-0.041372724,0.057799146,-0.097646356,-0.069898784,-0.04034663,0.01564077,0.010256795,0.36284038,-0.0015837274,-0.045856223
chr1-78310687-78311261,1.0468397,-0.6159886,-0.18234754,-0.033687692,-0.28500777,-1.3627728,0.36300105,0.1594424,0.30165184,-0.11204317,-0.08431444,0.0029136208,0.28997552,-0.23793794,-0.031369176,-0.05514511,-0.37982836,0.035206698,0.038947448
chr1-78537329-78538187,-0.6899491,0.06594005,0.1970485,-0.66477996,-0.237123,0.58647734,-0.7513865,0.86092025,0.45011243,0.5328404,0.030002398,-0.5668486,-0.22571205,-0.341796,0.016820328,-0.043961477,-0.0019625707,0.04197086,-0.4489345
chr1-79439544-79440422,0.40947607,-0.83929443,0.6776311,0.09544564,0.029574146,-0.5372229,0.006048451,-1.4143491,0.28848788,-0.44922104,0.05817058,-0.64532304,-0.17872727,0.36922225,0.020021036,0.07508563,-0.9080775,0.07622786,0.4106699
chr1-79671572-79672447,0.2719699,-1.0320147,0.59696114,0.41419905,0.28385508,-0.9549032,-0.19116825,0.5194344,-0.49088016,0.0188308,-0.054809257,-0.47457412,-0.2947333,-0.39607006,0.0164723,0.0616575,-0.6364513,0.050721392,-0.0023671908
chr1-79775787-79776671,-1.2886043,-0.021597635,-0.22174118,-0.23591919,0.06691029,0.17170642,-0.15232095,0.9041346,0.22323924,-0.2579106,0.06118788,0.19834816,-0.37691307,0.087157056,0.008643961,0.0027554485,0.30326083,0.008987284,-0.30843028
chr1-80758070-80758865,0.47982654,0.32217115,-1.0461249,0.36351207,0.089294456,1.041687,0.26094994,-0.35051188,-0.75511545,-0.94349915,0.0003454315,-0.4674377,0.36715457,-1.1936594,0.037895992,-0.13649267,-0.55988383,0.17185652,0.1585369
chr1-81076115-81076728,0.7071744,-0.65094745,0.38923284,0.44769165,0.85210884,-1.3781033,0.53264433,-0.8238246,0.013328202,-0.9805797,0.10896957,0.14885102,0.19170468,-0.16197614,-0.09511254,-0.026502838,-0.9679631,-0.21632268,-0.17868473
chr1-82724685-82725541,0.03346788,0.64563084,-0.22997232,-0.22695656,-0.09823621,0.59708315,-0.47019574,0.6474155,-0.039104506,-0.31354868,-0.008600528,-0.13684359,0.0066460106,-0.004020331,-0.0016785569,-0.014611661,0.2622556,-0.02968432,-0.09544604
chr1-83037914-83038739,-0.24233368,0.40918237,-0.0649127,-0.028787067,-0.17072937,-0.6717455,0.101981334,0.653714,-0.358895,0.2750762,-0.019901192,-0.13683432,0.041314457,-0.04109787,0.004073775,-0.0032426682,0.6537437,-0.006279952,-0.07855789
chr1-85735460-85736300,0.37512195,-0.3452625,-0.6202791,-0.5766205,-0.37327614,-0.73840684,-0.81956285,1.2736362,-0.76282716,1.1873965,-0.6066033,0.8512507,0.10590037,0.041626226,-0.31434834,-0.28517023,1.4034506,-0.58370996,0.32462838
chr1-85898179-85899030,0.5728005,-0.7833853,-0.21985899,0.5897864,0.37667498,-1.5326656,0.62092996,-1.6201236,0.37752032,-0.2252415,0.15013596,-0.5645233,0.2930667,0.027197761,0.022832416,-0.1421142,-1.3206155,0.21186174,0.14732742
chr1-85907968-85908908,-0.07086029,-0.44981977,-0.44186494,-0.2768308,0.14956978,-0.7983481,-0.9646169,1.069619,-0.36558113,1.2507528,-0.044644102,0.10398973,0.058669657,-0.47749177,-0.01039109,0.06626516,-0.5577333,-0.21169963,0.2447785
chr1-87507535-87508415,0.977443,-1.242774,-0.118102044,0.553616,-0.1956861,-0.49678433,0.7994365,-1.4027085,0.2760974,-0.13518448,0.35184062,-0.6366871,0.8881227,-1.0116793,-0.2951883,0.09849806,-0.8202811,-0.49276763,0.36202085
chr1-88007957-88008785,-0.11936118,0.9150581,-0.31312984,-0.09579298,-0.19344433,0.16354659,-0.35086057,0.7405524,-0.065892436,-0.063543044,0.07827566,0.54175407,0.004209784,-0.084099956,-0.17387176,0.052560095,0.30019775,-0.043421637,-0.2845417
chr1-89967912-89968781,0.4484345,-0.23679565,-0.031997804,0.41463017,0.029754044,-0.44556662,0.5981113,-0.68866616,0.11830658,-0.120137,0.08753755,-0.5791112,0.33613896,-0.027495168,0.010006789,0.0023743007,-0.95730937,-0.22551551,-0.18799818
chr1-90998458-90999244,-0.27834362,0.34200576,-0.008534723,0.06507156,0.020938646,-0.08978886,-0.08665094,0.37818155,-0.26592347,0.12558329,-0.003288173,-0.06594807,-0.031153994,0.023342164,0.005728931,-0.002947112,-0.11667343,-0.093380295,0.029313222
chr1-91297864-91298758,-0.2896523,0.57591575,-0.34916082,-0.13135625,0.39066976,0.47992936,-0.09479977,0.66752464,-0.5660625,0.03902119,-0.073006384,-0.34457484,-0.21557215,-0.37014505,-0.0032681115,-0.113821484,0.64206696,-0.05663472,-0.06963465
