,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 14,Shared topic 15,Epigenomics private topic 7,Epigenomics private topic 9,Epigenomics private topic 10
Zbtb20,-0.2835654,-0.27151585,-0.6152095,-0.13867751,-1.2645738,-0.17490996,-0.5230392,-0.5914856,-0.38105538,-0.42950252,-0.36171514,-0.18336,-0.35807064,-0.28352067
C230014O12Rik,-0.92187035,-0.6611789,-0.7345327,-0.3033976,-2.407879,-0.79531735,-1.0250527,-1.0212505,-0.7570543,-0.83821964,-0.67550427,-0.7954406,-0.7171855,-0.88920736
Kalrn,-0.4447047,-0.5467293,-1.0067489,-0.37238652,-0.7901639,-0.55986047,-0.13934551,-0.14731406,-0.28388393,-0.25221238,-0.28886747,-0.556579,-0.49480808,-0.4247536
Adcy5,-0.59649044,-0.40316442,0.15593767,-0.08324888,-1.8202589,-0.71497977,-0.80184734,-0.74903846,-0.5698383,-0.66852015,-0.46679133,-0.70346284,-0.51637137,-0.6222422
Cadps,-0.6551608,-0.53139186,-1.8144304,-0.58567375,-1.1300647,-0.6336105,-0.32282352,-0.22236505,-0.39902312,-0.349722,-0.40536028,-0.6047886,-0.6205168,-0.6249795
Tcf4,-0.26475534,-0.34483215,-2.1355906,-0.6800306,-0.95985633,-0.39408332,-0.2078503,-0.24817681,-0.34881118,-0.3335351,-0.36365128,-0.3823632,-0.40527096,-0.24165665
Etl4,-0.5782472,-0.5545897,-1.282248,-0.47955403,-1.0254581,-0.6354363,-0.30477947,-0.18266955,-0.35853767,-0.3327674,-0.3647314,-0.6347396,-0.57956797,-0.53214955
Rims1,-0.6886085,-0.6562762,-1.5778396,-0.51657397,-1.2864368,-0.7488605,-0.31566042,-0.30732733,-0.44655955,-0.42186,-0.44798017,-0.7011231,-0.627837,-0.6441432
Tspan5,-0.46098918,-0.58260524,-1.9735365,-0.6844107,-1.2640352,-0.60305405,-0.32993072,-0.27340865,-0.44830447,-0.40654424,-0.45723003,-0.59004307,-0.6657523,-0.3529253
Zbtb16,-0.35605183,-0.5272933,-2.5920298,-0.8148877,-1.183553,-0.50304246,-0.27631393,-0.27314407,-0.43606952,-0.37535295,-0.45426401,-0.4917664,-0.5640208,-0.3171944
Mef2c,-0.6389175,-0.86961585,-2.5195885,-0.8853704,-1.4565203,-0.9235103,-0.2621683,-0.30836278,-0.5462302,-0.42947775,-0.62738323,-0.89917636,-0.58350545,-0.6513306
Prickle2,-0.596187,-0.51780546,-1.2425518,-0.4317241,-1.1223582,-0.67168856,-0.26995802,-0.2586558,-0.3872882,-0.3760676,-0.38902757,-0.635769,-0.5943124,-0.60535336
Tgfa,-0.5397339,-0.43188813,-0.8383336,-0.38986632,-2.1704302,-0.71277064,-0.9096021,-0.907843,-0.65577495,-0.77987605,-0.64123404,-0.5913522,-0.4884839,-0.5065707
2900005J15Rik,-0.43160188,-0.6990644,-1.7688034,-0.65011567,-1.2526633,-0.62409925,-0.30159995,-0.21660544,-0.44326213,-0.4013831,-0.4508235,-0.59984505,-0.6433494,-0.41407588
Nav2,-0.4054941,-0.34800035,-1.2198472,-0.42243558,-0.7638532,-0.39305985,-0.16780633,-0.13631625,-0.26787522,-0.25495678,-0.27103165,-0.3905871,-0.36893478,-0.4217657
Mpped1,-0.91420937,-0.72559315,-2.4495394,-0.8357717,-1.5184442,-0.81077313,-0.34221935,-0.29320613,-0.5635739,-0.44503555,-0.5972996,-0.79290175,-0.83419216,-0.89057267
Ube2ql1,-0.91940796,-0.82900274,-2.660211,-0.78786516,-1.6660315,-0.7748611,-0.40596795,-0.39520782,-0.6106367,-0.51140565,-0.62069654,-0.8428892,-0.8753576,-0.92209816
Olfm1,-0.88529867,-0.84099597,-3.0515895,-0.9384014,-1.388617,-0.9154373,-0.17710859,-0.2247262,-0.5502582,-0.3602275,-0.6385478,-0.88040906,-0.82984376,-0.90511906
Cacna2d3,-0.53387624,-0.40042576,0.054209113,-0.05029124,-1.0875514,-0.48931047,-0.40948316,-0.5064632,-0.34879065,-0.3639471,-0.33094034,-0.519094,-0.42060447,-0.47331917
Kcnh7,-0.8848687,-0.7943023,-2.2188,-0.80946803,-1.5465307,-0.79913586,-0.34009466,-0.36679322,-0.57041574,-0.45170388,-0.58648854,-0.7894677,-0.75579166,-0.8666265
Ablim1,-0.33051312,-0.67435706,-1.954764,-0.6401584,-1.1171963,-0.65752685,-0.2613532,-0.2110083,-0.41422182,-0.3609612,-0.42654186,-0.6481713,-0.5665921,-0.24342194
Spock1,-0.5923983,-0.5980935,-1.1507857,-0.41973186,-0.9813479,-0.6784507,-0.2140842,-0.20368984,-0.3482591,-0.328034,-0.35402393,-0.6807606,-0.5921955,-0.5760723
Dlgap1,-0.5108995,-0.4583433,-1.4522629,-0.45782012,-0.82799804,-0.5299115,-0.1967667,-0.17864494,-0.3020038,-0.2641554,-0.3061283,-0.54493475,-0.4952473,-0.49158975
Hivep3,-0.4439487,-0.35746345,-1.3718381,-0.4579219,-0.92765415,-0.45973223,-0.23787937,-0.21154818,-0.32066432,-0.30788144,-0.3255984,-0.4536481,-0.32122004,-0.47815853
Dclk1,-0.68909705,-0.6102147,-1.0198653,-0.4079873,-1.0278432,-0.61094797,-0.23706394,-0.19369556,-0.36081392,-0.34196535,-0.3672609,-0.6152649,-0.6440966,-0.6500325
Adcy1,-0.76218283,-0.8472439,-2.1075733,-0.7916024,-1.6426195,-0.9036523,-0.45435405,-0.33507907,-0.57997704,-0.5311099,-0.585727,-0.82214546,-0.71998954,-0.7975805
Zeb2,-0.5811929,-0.2922365,-3.6063929,-1.1662304,-1.3849643,-0.5322368,-0.28093082,-0.2820171,-0.4750848,-0.408113,-0.595468,-0.5408565,-0.49452883,-0.6416496
St8sia5,-1.0367928,-1.0231228,-2.7207413,-0.9277884,-1.7060592,-0.9843575,-0.42364824,-0.30411604,-0.6464389,-0.46548033,-0.7158682,-0.96344244,-0.97657824,-0.94718957
Spata13,-0.5230203,-0.50749946,-0.9239995,-0.3597278,-1.9274986,-0.61694753,-0.7651722,-0.85305995,-0.6014867,-0.6508032,-0.59139264,-0.65679884,-0.41831762,-0.54783094
Ryr2,-0.55946064,-0.62901366,-1.5582078,-0.5316226,-1.0395427,-0.6726674,-0.2381218,-0.19790827,-0.37194797,-0.33325374,-0.37813637,-0.6818398,-0.5921254,-0.5626544
Zfhx3,-0.41687718,-0.46276116,-0.866637,-0.3340054,-1.6562266,-0.4128332,-0.7284386,-0.6966487,-0.51136523,-0.5418771,-0.5011599,-0.49573785,-0.23479119,-0.4984583
Kcnma1,-0.4891934,-0.4892103,-1.0153626,-0.34404337,-0.84374547,-0.5908909,-0.1772942,-0.16935427,-0.29403517,-0.27177846,-0.2973127,-0.5559853,-0.4987402,-0.5242194
Rgs9,-0.89636993,-0.817033,-0.18291801,-0.22711366,-2.5359104,-0.7479924,-1.0571549,-0.96015894,-0.8424229,-0.9199902,-0.6899633,-0.79952234,-0.8207239,-0.82297146
Lrfn2,-0.7044805,-0.7076204,-2.0480635,-0.5825548,-1.3850925,-0.72972375,-0.41280028,-0.31455678,-0.4932789,-0.44602716,-0.49606943,-0.7183944,-0.69924784,-0.70102906
Adgrb3,-0.64798164,-0.58980304,-0.79131204,-0.3363398,-1.0998052,-0.6087471,-0.3516208,-0.30015767,-0.37148643,-0.36477244,-0.37141916,-0.5785265,-0.53028166,-0.6320338
2900026A02Rik,-0.39562657,-0.762682,-2.160712,-0.75231427,-1.3482095,-0.67538774,-0.28655317,-0.2794346,-0.49817967,-0.4303357,-0.51736057,-0.7700335,-0.6364954,-0.34047574
Zfp503,-0.456108,-0.56266314,-0.89238584,-0.3130345,-2.1956024,-0.5400805,-0.88512826,-0.95815265,-0.6681429,-0.8420744,-0.6257139,-0.5307688,-0.6303745,-0.46786577
Fa2h,-1.1563165,-0.26393312,-2.0901425,-0.7769336,-2.9860277,-1.0777007,-1.1694256,-1.2202039,-0.93163615,-1.0180365,-0.9234218,-0.9612769,-0.9487275,-1.1231997
Srrm4,-0.8502728,-0.8405261,-2.1814198,-0.7027804,-1.518466,-0.7845396,-0.36337194,-0.3243193,-0.548671,-0.47184443,-0.5563896,-0.8281273,-0.793924,-0.81325877
Slit1,-0.8679912,-0.6605611,-2.0825753,-0.60295457,-1.6580305,-0.47381532,-0.55538607,-0.4295978,-0.55538064,-0.5507918,-0.5544444,-0.6151047,-0.7386688,-0.8773807
Pbx3,-0.7356287,-0.6657963,-0.6117044,-0.27369547,-2.4670277,-0.6291878,-1.0254769,-1.0434983,-0.79368395,-0.8994552,-0.66641825,-0.71879876,-0.66566443,-0.74367094
Pde4d,-0.4166286,-0.3395947,-1.3364042,-0.39424333,-0.88122773,-0.44638017,-0.25974536,-0.22848013,-0.29862997,-0.29367945,-0.30008742,-0.46596077,-0.39748684,-0.40775314
Nrg3,-0.56468517,-0.50318694,-1.5658629,-0.5262939,-1.0234021,-0.67608213,-0.2434184,-0.21992895,-0.36536765,-0.30835748,-0.36996984,-0.68039894,-0.5205739,-0.5304637
Zfp521,-0.47718692,-0.49743545,-1.0797263,-0.40525576,-1.8914447,-0.44250727,-0.78802943,-0.8225496,-0.5892191,-0.6396644,-0.56810105,-0.4254827,-0.58049333,-0.515844
Nrxn1,-0.5385849,-0.43867883,-1.4611541,-0.45055538,-0.9370229,-0.50173783,-0.20477483,-0.2222524,-0.32723695,-0.30969426,-0.32976326,-0.46808004,-0.52444535,-0.54339886
Abat,-0.7802502,-0.6893073,-0.91593885,-0.35118806,-2.4123392,-0.594471,-1.0324602,-1.0372349,-0.7503084,-0.8770598,-0.6563947,-0.57136285,-0.7528322,-0.81424713
Cacna1a,-0.55896807,-0.58968,-1.3786566,-0.51084036,-1.1008794,-0.597064,-0.2394664,-0.2651168,-0.3930005,-0.37315446,-0.40382287,-0.62855375,-0.5400733,-0.5402242
Nck2,-0.70523643,-0.70054233,-2.3382237,-0.7849492,-1.6837022,-0.76272017,-0.49147224,-0.3473757,-0.58863336,-0.56125087,-0.5933446,-0.7712808,-0.7828366,-0.65637654
Cpne5,-0.8791199,-0.83727264,-0.7501217,-0.31498694,-1.9746177,-0.8893322,-0.70077133,-0.76315296,-0.6529783,-0.6514811,-0.63475525,-0.83548677,-0.8290519,-0.8272178
Neurod2,-0.9440713,-0.83444625,-2.1211462,-0.75652564,-1.4820094,-0.80526245,-0.2600397,-0.25087178,-0.5684495,-0.43242607,-0.61921483,-0.83536494,-0.85755396,-0.8873113
Pde10a,-0.5354054,-0.3543654,0.122125804,-0.09907699,-1.2135206,-0.51156825,-0.53519523,-0.47425336,-0.37066483,-0.41068625,-0.36260927,-0.4933219,-0.45546383,-0.49027917
Fam49a,-0.75497144,-0.83682144,-1.8988042,-0.63211715,-1.5541043,-0.82200253,-0.38919604,-0.367493,-0.55103725,-0.5286151,-0.5609361,-0.8334218,-0.76031077,-0.7437316
Prkch,-0.39819553,-0.67136735,-0.9601562,-0.380176,-1.8001833,-0.7574965,-0.68692493,-0.762463,-0.5815257,-0.5953745,-0.5816951,-0.76455384,-0.55412436,-0.22740665
Chrm3,-0.6487157,-0.6632011,-1.6710453,-0.59047544,-1.2919115,-0.77001584,-0.35385412,-0.2697689,-0.45527193,-0.4020248,-0.4592314,-0.7436077,-0.5965624,-0.63413507
Atp2b2,-0.5961296,-0.5771493,-0.8403907,-0.31672162,-0.9210985,-0.5935984,-0.17943949,-0.17977938,-0.32313922,-0.3145369,-0.32487443,-0.5931617,-0.5196067,-0.56570953
Slc1a2,-0.67208314,-0.66396236,-2.7542553,-0.8732657,-1.5250425,-0.32913828,-0.37776303,-0.33746988,-0.54683584,-0.5330024,-0.5596233,-0.17503983,-0.6438034,-0.8131745
Shank1,-0.8455204,-0.7646401,-2.4638886,-0.6947968,-1.5851375,-0.692804,-0.3925781,-0.3300234,-0.56972414,-0.5338421,-0.5723897,-0.7441,-0.7503313,-0.8577286
Kcnj9,-0.8192379,-0.71719337,-2.5114045,-0.8630971,-1.52142,-0.81787837,-0.3128449,-0.3040929,-0.56846374,-0.5016844,-0.6015589,-0.81001896,-0.6922155,-0.81753904
Pard3,-0.4047138,-0.29556143,-0.30436817,-0.13776508,-1.3073182,-0.43334207,-0.5807461,-0.5837199,-0.39657146,-0.44094917,-0.3822928,-0.40184522,-0.42947137,-0.3539677
Sv2b,-0.8926406,-0.93373907,-2.090879,-0.7636967,-1.4492316,-1.0140431,-0.3032046,-0.2414959,-0.5615969,-0.3906182,-0.6176068,-0.92261934,-0.84608155,-0.8307959
Galnt14,-0.7654397,-0.73888797,-1.3982449,-0.6052012,-1.5970232,-0.7958065,-0.52841425,-0.3925078,-0.5408622,-0.5288618,-0.5448274,-0.7809283,-0.74228007,-0.74771994
Rap1gap,-0.7903172,-0.45134237,-0.6359398,-0.24628696,-1.8098083,-0.5594408,-0.7501112,-0.6792314,-0.56404746,-0.6334007,-0.55101347,-0.51068467,-0.6362764,-0.77681565
Prkag2,-0.40835208,-0.6143637,-1.35849,-0.47591996,-1.2162515,-0.5261769,-0.35764015,-0.27463418,-0.40978062,-0.40461227,-0.4116835,-0.5030505,-0.60020024,-0.41135582
Sh3gl2,-0.81983185,-0.7268759,-2.2843056,-0.76178515,-1.4431365,-0.8514129,-0.32564712,-0.2710025,-0.53681844,-0.42592978,-0.5706407,-0.8382505,-0.72799134,-0.7714343
Svil,-0.45580465,-0.45610243,-1.422553,-0.5277889,-1.7011906,-0.53698874,-0.69447154,-0.66301084,-0.55917674,-0.5616561,-0.5580839,-0.5021296,-0.5879574,-0.4793746
Clic4,-0.36246607,-0.38420975,-2.676376,-0.7696087,-2.2859354,-0.5318041,-0.91170883,-0.9871597,-0.71022564,-0.78516406,-0.6891763,-0.5195685,-0.4799655,-0.37152418
Gm35978,-0.06238836,-0.15833798,-1.7854304,-0.58391154,-1.5150721,0.0056915283,-0.6844018,-0.69780344,-0.44029716,-0.57608426,-0.42899072,0.006460488,-0.24864973,-0.040259182
Sobp,-0.6909121,-0.6455093,-2.6532278,-0.7644216,-1.5201852,-0.69416875,-0.41562736,-0.38779473,-0.53628796,-0.49463236,-0.54047006,-0.7415607,-0.68780756,-0.65569323
Foxo1,-0.47579288,-0.5741388,-0.7496021,-0.37774903,-2.037353,-0.5206504,-0.84600097,-0.869284,-0.6226234,-0.7192996,-0.6148554,-0.51497585,-0.5358348,-0.42835638
Fhod3,-0.68013334,-0.64050746,-2.0854683,-0.6450299,-1.0524832,-0.6663873,-0.18890132,-0.2061002,-0.40455383,-0.29004434,-0.42028764,-0.67112297,-0.65267676,-0.64363515
Meis2,-0.8603686,-0.64819753,-0.29283512,-0.1718561,-1.7616376,-0.34309542,-0.74000615,-0.6208554,-0.56362563,-0.60826826,-0.51022255,-0.4723122,-0.69335574,-0.8316963
Fam155a,-0.58079946,-0.53516984,-1.6926789,-0.51759064,-1.1445491,-0.6774686,-0.35288334,-0.26734003,-0.3927896,-0.36860466,-0.39248815,-0.63514084,-0.6107005,-0.53296995
Unc13c,-0.6428147,-0.6212434,-0.8391913,-0.31599343,-1.9147432,-0.6883528,-0.7874322,-0.78080875,-0.60263944,-0.6290716,-0.59631056,-0.640942,-0.66716963,-0.5981172
Pex5l,-0.8820934,-0.5943331,-2.5559814,-0.85910344,-1.6153024,-0.9225427,-0.386898,-0.36686856,-0.5871383,-0.49867538,-0.6030194,-0.86398435,-0.8167014,-0.8227108
Cnih3,-0.83599,-0.6873425,-2.2960153,-0.78700423,-1.6224947,-0.66785246,-0.41602063,-0.40904215,-0.5745292,-0.5246745,-0.57913685,-0.6552355,-0.80091804,-0.86280066
Carmil1,-0.64001524,-0.54353464,-1.7574638,-0.4830488,-1.4453375,-0.587983,-0.4858884,-0.45704225,-0.48223147,-0.482243,-0.48195624,-0.5648412,-0.5517443,-0.67993796
Zmat4,-0.64559036,-0.7060214,-1.8850977,-0.51987576,-1.2349259,-0.7151511,-0.2577982,-0.32649937,-0.44261113,-0.41863245,-0.44304436,-0.6783358,-0.64643145,-0.64293313
Esrrg,-0.5671035,-0.5491466,-1.1712065,-0.42398095,-1.2685041,-0.52224946,-0.42290005,-0.40546018,-0.4233469,-0.42177707,-0.4234502,-0.5413258,-0.57567936,-0.5701227
Cachd1,-0.56357163,-0.6075551,-1.5887095,-0.50210744,-1.8960154,-0.46444377,-0.72419125,-0.82090414,-0.6215877,-0.6255574,-0.6192615,-0.45739084,-0.5858833,-0.6044953
Prickle1,-0.5355485,-0.42999947,-2.7246854,-0.95375085,-1.6226356,-0.7565736,-0.4647902,-0.34548527,-0.57041264,-0.5302016,-0.59323484,-0.6899288,-0.74823475,-0.46113372
Ncald,-0.5791967,-0.43455818,-2.097776,-0.58798194,-1.0976915,-0.5983631,-0.32397377,-0.22280915,-0.3844064,-0.35285172,-0.38610178,-0.5856252,-0.55881065,-0.57447
Runx2,-0.6832478,-0.720225,-2.1330378,-0.76453817,-1.6034142,-0.7650678,-0.43538684,-0.34728047,-0.56157964,-0.53035384,-0.56943953,-0.78455967,-0.706164,-0.68819064
Mir7056,-1.0070887,-0.84955424,-0.6186135,-0.24613848,-1.8291299,-0.9499252,-0.6385919,-0.6238954,-0.60030746,-0.6068677,-0.58831346,-0.91788244,-0.84304595,-0.95679414
Kcna6,-1.0204701,-0.64461905,-2.2414317,-0.79086375,-1.8292124,-1.0266484,-0.5380398,-0.3891734,-0.63558793,-0.5893278,-0.6435203,-0.93976015,-0.85164833,-0.99517226
Asic2,-0.43374842,-0.39673188,-0.98694587,-0.294163,-0.8135441,-0.37895203,-0.2300292,-0.21651468,-0.27714682,-0.26955333,-0.27644476,-0.40439168,-0.42527604,-0.45464808
Auts2,-0.3824736,-0.28379095,-0.37737805,-0.16756907,-0.84882116,-0.29090038,-0.3146298,-0.39080596,-0.27897942,-0.27818376,-0.2769574,-0.29207417,-0.39145848,-0.3745261
Rgs7bp,-0.8889722,-0.8666606,-1.4494517,-0.6414488,-1.8958039,-0.9544229,-0.5661608,-0.50377405,-0.64026994,-0.6329829,-0.65623003,-0.9234424,-0.6915827,-0.88951147
Tmem121b,-1.0555613,-1.0069357,-2.1987882,-0.80212265,-1.8383328,-0.805892,-0.4119588,-0.39543337,-0.670245,-0.5969722,-0.6932333,-0.871027,-0.9686099,-1.0313395
Arid1a,-0.4140689,-0.5097151,-1.7380862,-0.6062816,-2.0312088,-0.4874175,-0.78451693,-0.79229254,-0.6612919,-0.67883444,-0.66034555,-0.56959003,-0.4038543,-0.43127882
Srgap1,-0.5426692,-0.47929442,-0.4935199,-0.25066206,-1.8356526,-0.6208178,-0.84150493,-0.785334,-0.5403643,-0.6571795,-0.5215275,-0.5901785,-0.5326731,-0.45246136
Oxr1,-0.6197685,-0.5664712,-2.1956298,-0.71981394,-1.3615433,-0.625842,-0.33228707,-0.3418943,-0.47900075,-0.43451777,-0.4826284,-0.6024932,-0.5411792,-0.62795925
Clstn2,-0.5313617,-0.62458664,-1.4562204,-0.5021864,-1.0589607,-0.636189,-0.24653654,-0.23006341,-0.37739608,-0.35046217,-0.38414428,-0.659824,-0.53351057,-0.5254022
Ntrk2,-0.58755386,-0.497094,-1.2198639,-0.44590646,-1.0182842,-0.3311749,-0.27360728,-0.2698331,-0.34669733,-0.34276897,-0.34695283,-0.31664836,-0.5508003,-0.6522955
Dnajc7,-0.8370227,-0.27279413,-2.506996,-0.8239089,-2.6228702,-0.6375206,-1.0175735,-1.0162877,-0.8368517,-0.89063734,-0.83247,-0.58606917,-0.6784469,-0.88075924
Cadps2,-0.7295766,-0.641767,-2.2716181,-0.70271826,-1.4719574,-0.74747324,-0.3483064,-0.38680506,-0.52329457,-0.45249152,-0.52560276,-0.7421785,-0.6902714,-0.7318586
Pbx1,-0.43881556,-0.5355804,-1.5601854,-0.40242258,-1.1765547,-0.38207933,-0.39284194,-0.35945898,-0.3938567,-0.39185423,-0.3936576,-0.43125796,-0.46248782,-0.52242166
Kcnb1,-0.76217234,-0.7431229,-1.594108,-0.56537324,-1.3663666,-0.6914228,-0.28005394,-0.26578885,-0.49261403,-0.45490602,-0.5024067,-0.7259346,-0.74530613,-0.7502827
Cdk19,-0.55403996,-0.3252767,-1.5652925,-0.57757986,-1.920213,-0.5664834,-0.72707283,-0.789962,-0.6218475,-0.63193095,-0.62141174,-0.498081,-0.42664897,-0.5784941
Bcl11a,-0.78751516,-0.76005304,-1.4078274,-0.48476902,-1.4260375,-0.66586804,-0.32627797,-0.2846986,-0.49119717,-0.48061323,-0.49414334,-0.8028647,-0.66670185,-0.7434986
Asap1,-0.44550362,-0.4374804,-1.4317187,-0.53560966,-1.118159,-0.5030738,-0.28241187,-0.26299056,-0.38625675,-0.3810289,-0.3904859,-0.46461484,-0.40541092,-0.47894806
Tnr,-0.5828016,-0.3891897,-1.3991714,-0.41272584,-1.1688497,-0.49055374,-0.39333284,-0.35182658,-0.3901417,-0.3895694,-0.3902749,-0.46460038,-0.5049973,-0.56912786
Nfix,-0.34085464,-0.31682932,-2.5300713,-0.78607106,-1.2315115,-0.121602565,-0.28986472,-0.27281046,-0.4341439,-0.42732793,-0.45010558,-0.1789901,-0.39999193,-0.38615122
Mir187,-0.7774271,-0.7643575,-0.41915578,-0.15220836,-2.2041683,-0.7150253,-0.98148,-0.9823216,-0.65601605,-0.82711625,-0.5681139,-0.71640337,-0.54477805,-0.79546577
Gpr88,-0.90682805,-0.9451264,-0.8771139,-0.37979063,-2.0479212,-0.8794967,-0.5980837,-0.7644125,-0.68470764,-0.6901572,-0.68030864,-1.0325524,-0.7775819,-0.8507277
Tg,-0.6372698,-0.7408435,-2.5997844,-0.89747155,-1.6798124,-0.82115304,-0.502283,-0.40641835,-0.5926049,-0.51797104,-0.6077672,-0.8340089,-0.4103983,-0.73841906
Sdk2,-0.49157837,-0.43148223,-1.6240169,-0.4867213,-1.2282984,-0.31565708,-0.4190925,-0.31078714,-0.411484,-0.40847898,-0.4113426,-0.31064355,-0.511868,-0.55350256
Grm8,-0.6485675,-0.57561076,-1.5618651,-0.5477922,-1.2868425,-0.6699916,-0.37575105,-0.30146658,-0.43697214,-0.417899,-0.43806407,-0.6802498,-0.60261726,-0.6660894
Zfp36l2,-0.065309495,-0.3374167,-2.2024293,-0.7044635,-1.9381664,-0.13618237,-0.81146526,-0.88432753,-0.55888826,-0.73063445,-0.5562397,-0.16426405,-0.036925018,-0.13907856
Nup210,-0.7751796,-0.6517405,-1.260195,-0.42054182,-1.7080431,-0.81979656,-0.6223082,-0.5239935,-0.56848156,-0.5685365,-0.56797105,-0.8099372,-0.7334105,-0.71578026
Pcdh9,-0.6469198,-0.3168565,-1.5848856,-0.5564614,-1.2446775,-0.5690906,-0.37300703,-0.30566886,-0.4186522,-0.41083348,-0.41998515,-0.5536136,-0.5438014,-0.635145
Farp1,-0.4209347,-0.5190854,-2.0579581,-0.57098556,-1.1731365,-0.4096862,-0.32449803,-0.34252557,-0.4034074,-0.3904462,-0.40332884,-0.3288112,-0.52116823,-0.48705724
Nrcam,-0.74157846,-0.7276282,-1.8456872,-0.6603955,-1.4994481,-0.655732,-0.38496447,-0.39188364,-0.5239553,-0.49793348,-0.52909315,-0.6020136,-0.7539044,-0.7474581
Nin,-0.79637086,-0.93101656,-1.6014348,-0.64810455,-1.8398955,-0.90724677,-0.5723042,-0.41465348,-0.6302559,-0.6174868,-0.63678926,-0.9474796,-0.8557889,-0.7349068
Ank,-0.71468353,-0.44771397,-2.0885282,-0.67772734,-1.3586963,-0.62730396,-0.34592193,-0.28906217,-0.48010185,-0.45838627,-0.48550773,-0.60550284,-0.59814906,-0.69058543
Sox10,-0.89459634,-0.023436964,-2.7374377,-0.9254054,-2.7512367,-0.7894955,-1.187149,-1.103947,-0.8411889,-0.9353329,-0.8362624,-0.5240856,-0.7566419,-0.9175428
Acot11,-0.7664578,-0.6257976,-1.9479088,-0.6443878,-2.0382943,-0.4160806,-0.7133599,-0.7357763,-0.6777486,-0.67909247,-0.6768871,-0.35775816,-0.69584274,-0.85161245
Ppp1r12b,-0.7088165,-0.74643356,-1.600895,-0.54741234,-1.6994746,-0.7536049,-0.5233674,-0.5374037,-0.5689851,-0.56686807,-0.56979805,-0.8115572,-0.72011423,-0.7329248
Atrnl1,-0.59315157,-0.57925975,-1.3402326,-0.46344298,-1.210671,-0.61661094,-0.36199257,-0.3011448,-0.4097509,-0.4008458,-0.4106558,-0.62006587,-0.6013793,-0.57958335
Rbfox3,-0.5388087,-0.549289,-0.73813206,-0.27612647,-0.80009985,-0.5946442,-0.11308852,-0.14902996,-0.2913206,-0.27711558,-0.29595277,-0.6262051,-0.54077387,-0.4977948
Cdh18,-0.7257119,-0.62023336,-1.4438426,-0.5040147,-1.4907509,-0.7739737,-0.5034868,-0.4069392,-0.50018525,-0.49690086,-0.49980778,-0.7962556,-0.59921736,-0.67600507
