,Shared topic 1,Shared topic 2,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9
chr1-36691060-36691939,0.3586316,-0.001112947,0.00028472312,-0.090645365,-0.16953167,-0.28169513,0.09762788,-0.0024290266,0.0023927644,-0.124156564,-0.0023877262,-0.14451806,-0.07002276,0.06961849,-0.0005241833,0.03850361,-0.008270155
chr1-37350661-37351542,-1.2470033,0.00086815434,-0.034517903,-0.64855987,0.37132356,-0.33788264,0.7012754,0.22198428,0.12774394,-0.5662524,0.11661734,-0.6538901,0.4700296,-0.27539757,-0.003639042,0.37164834,0.054353453
chr1-37429612-37430512,0.05875933,0.0019800079,0.0018181262,-0.13575047,-0.1843164,-0.6663653,0.059299998,0.00861902,0.0006212869,-0.4505136,-0.002841711,-0.027192574,0.07680218,-0.00039095408,0.0002071171,0.011548831,-0.1357476
chr1-37540638-37541540,-0.026583351,0.00096623454,8.347356e-05,-0.40952063,-0.3359424,-0.14222242,0.12343231,0.004955949,0.00663762,-0.29290235,0.025489831,0.18761493,-0.27111274,-0.005324202,0.00021706519,-0.0073498283,-0.06370316
chr1-37864593-37865522,0.25291592,0.0019409945,-0.0013882864,-0.06016447,0.008514904,-0.17053756,-0.11106405,0.0004848139,-0.013326935,-0.2332852,-0.0033183983,0.49482757,0.05261995,0.04806279,-0.0012437942,-0.02494794,-0.049542215
chr1-38129446-38130342,0.025693486,0.00045687213,-0.0020352532,0.04481229,-0.094511166,0.35451323,-0.045118324,0.0009974131,-0.015927643,-0.07066842,0.007091442,-0.34055734,0.09224521,0.03238176,-0.0004255979,0.012496458,-0.08411872
chr1-39535376-39536228,-0.9237031,0.0002994237,-0.0030320229,0.089522205,-0.054195307,0.060923457,-0.010994705,0.024352003,0.042000007,-0.18401106,0.006290752,-0.19080071,0.036288165,-0.10276312,-9.900833e-05,0.007461615,-0.059784316
chr1-39900352-39901267,-0.754573,0.0017973426,-0.002969813,0.39029753,0.05277415,0.35615757,-0.18100616,0.025247306,0.078754164,0.2519245,-0.02289738,-0.34980342,0.5970852,-0.6712085,0.0028996475,-0.12686138,-0.08903554
chr1-39936247-39937113,0.18294385,-0.0009014593,0.006788068,-0.5131734,0.09897945,-0.62966835,0.17962573,-0.012377922,0.016263656,-0.12935285,0.05258603,-0.35143402,-0.09104076,0.101251215,-0.0029174632,0.0085384045,-0.19614692
chr1-40680901-40681726,0.96075916,-0.005740292,-0.041755684,0.29245025,-0.42817244,-0.18926695,0.10158556,-0.08206661,-0.08687644,0.15181187,-0.023706391,0.11680642,-0.7091145,0.23680714,-0.0038871386,0.09574098,0.2030967
chr1-43005789-43006710,1.7689912,-0.054785136,0.11695177,-0.4279446,-0.69348955,-0.96524584,0.018477501,-0.18132474,-0.51894015,-0.4526979,-0.103904784,0.3201798,-0.752888,0.9848287,-0.014278622,0.10643206,-0.39573875
chr1-43092100-43093020,-0.2557734,-0.0020405843,0.005408391,-0.03193273,0.023499198,0.19608356,-0.0056626135,-0.008647435,-0.01298317,-0.3635724,-0.0027774288,0.038839497,-0.06211843,-0.021791734,0.0010597041,-0.012552523,0.06903384
chr1-43827424-43828287,-0.045198124,0.0013345355,-0.00033991004,-0.0055696825,0.1558493,-0.018478587,-0.021055182,-0.0007885008,-0.009592888,-0.079398505,0.0032570518,0.063676775,0.09857546,0.0039179362,-0.00063382834,-0.0072919764,-0.025201134
chr1-45925345-45926200,-1.2903113,-0.03395541,-0.07519774,-0.2354807,-0.28035086,0.37380004,0.34815022,0.36859292,0.5335896,0.7600561,0.15591726,-0.33456132,-0.44101715,-0.3859799,0.00961946,-0.24966264,-0.012259672
chr1-46853212-46854124,0.20329288,-0.0002607337,0.0007391947,-0.0071279802,0.018727332,0.049833354,-0.22524329,-0.0012526879,-0.019366132,-0.056345895,-0.009593436,-0.22257815,0.23736598,0.0046990477,0.00022614861,0.017571565,0.014187554
chr1-52113381-52114277,-0.07751279,-0.0013005214,-0.0017607308,0.037412904,0.105202906,-0.047652707,0.0050346684,0.0013513459,0.0058186147,-0.1866881,0.0017835698,0.06868571,-0.27464193,-0.0007527416,-0.00017363399,-0.0784059,0.045629945
chr1-52844514-52845399,-0.5900246,-0.001551916,0.030864973,0.27919248,0.2704659,0.07494084,-0.22175902,-0.002264962,-0.047611155,0.10124414,-0.009243245,0.07532582,0.46219045,-0.55326235,0.003472654,-0.33747628,0.11287359
chr1-53313174-53314093,0.06756821,-0.00063724257,0.0015308004,0.077858955,-0.36691394,0.0021565927,0.12603655,-0.001297171,-0.009763293,-0.43200332,0.0018260276,-0.042796962,0.034849957,0.013419069,-0.00065144297,-0.0006959449,-0.05434719
chr1-53784770-53785604,-0.78176415,0.005539146,-0.0025301327,0.34391096,0.36927173,0.5032646,-0.33323517,-0.0118863005,-0.0037514637,0.3408546,-0.058641843,-0.012645756,0.31086606,-0.452155,0.0037861997,0.03318822,-0.26164934
chr1-55027005-55027879,0.042872757,-2.4027335e-08,-0.000234687,-0.009670429,0.07530533,-0.059491135,0.034547683,-1.8095596e-05,-0.0052962922,-0.075355545,0.0007872762,-0.06518153,-0.07876328,0.014365384,2.2303591e-05,-0.019225165,0.0034392814
chr1-55052267-55053185,-0.2906748,-0.0005583354,-3.81349e-05,0.043006472,-0.22639796,0.31593946,-0.030780552,0.010649604,0.0041901544,-0.013524113,-0.00025083392,0.01362948,0.114285246,-0.020642843,6.977662e-05,-0.027881388,0.0015938822
chr1-55130815-55131676,0.24003524,-0.00014262462,-0.0010134653,0.08349348,-0.021903373,-0.09723172,-0.04242498,-0.0048398157,-0.0023965542,-0.015982093,0.00045526755,0.050856333,-0.06709103,0.01957354,0.0010937126,0.039957862,-0.23896535
chr1-55405465-55406327,-0.26274785,-0.0003251909,-0.000874671,0.09706524,0.14935298,0.024897277,-0.018901914,0.0018342199,0.00094731065,-0.2964693,0.0015924287,-0.030729746,0.06344925,-0.010449135,-4.486599e-06,0.0069024726,0.015228808
chr1-57377263-57378094,-0.28025484,-0.00019952096,-0.0015060365,-0.13541603,-0.055900987,0.039732795,0.16637535,0.0004040919,-0.0036582574,-0.23488161,0.0059342296,0.35255513,-0.110132515,-0.03947916,0.0006701075,0.026371324,-0.013388322
chr1-58423526-58424275,0.25677148,-0.00096977386,0.0006679004,-0.058978174,-0.7087075,-0.1330305,0.1929033,0.0055939076,-0.0032940023,-0.269819,0.014411003,0.23936705,-0.038705327,0.072163336,-0.0027648185,0.13989893,-0.4330717
chr1-58711156-58712026,-0.48107132,-0.0058651497,0.018484958,0.34385493,0.09999843,0.383311,-0.12189515,-0.042696036,-0.0124358535,0.4784987,0.022443788,-0.15896001,-0.11666392,-0.24630931,-0.0035732705,0.044727143,0.022828404
chr1-58973119-58973987,-0.042329036,-8.033306e-05,0.0005069971,0.06037123,-0.12107863,-0.01981419,-0.027384222,-0.0004177049,-0.0036132566,-0.16905336,0.002274765,0.11123172,0.01404978,-0.0014528154,-0.0006556661,-0.013669747,0.0045583015
chr1-59481611-59482509,-0.4390239,-0.0005930966,-0.0396625,0.66184705,0.42982194,0.55097365,-0.47795102,0.00848665,-0.12476122,0.7006828,-0.2382881,-0.27934474,0.4890804,-0.59322464,0.012418552,-0.4535342,-0.27758402
chr1-59684580-59685451,0.041432194,-2.2044404e-05,0.005142916,-0.22745112,-0.2604353,-0.13465376,0.004070629,0.0012372348,0.005739866,0.08846869,-0.001658874,0.32570317,-0.20329268,0.0156043675,0.00023336387,-0.010051492,-0.04713343
chr1-60097721-60098564,0.19164295,0.00036174795,-0.0010826323,-0.0741603,-0.08951914,0.052529264,0.00014052828,-0.00054532225,-0.0020209718,-0.25119328,-0.0007466748,0.049516186,-0.016641375,0.029444644,-6.786692e-05,-0.0024985534,-0.01210675
chr1-60180032-60180926,-0.7759497,-0.0025255147,0.00019633851,0.09644764,0.21659568,0.34474063,-0.07908073,0.015469349,0.03706253,0.45921898,0.031130854,0.24128892,-0.16320527,-0.70344067,0.00097653223,-0.2907626,-0.1433156
chr1-62702863-62703777,-0.75960726,-0.00056809786,0.011612581,-0.0028089697,-0.17382154,0.42853415,0.13837652,-0.0023645896,-0.024752503,0.2262496,0.0005454397,-0.26831737,-0.15861012,-0.14042552,0.00017475398,-0.022744609,-0.028253715
chr1-64737377-64738262,-0.235833,-0.00092875684,-0.0155623695,0.64196527,0.5174111,0.26986638,-0.77007204,0.0030119754,-0.4702908,0.2606747,-0.1961206,0.20711383,1.0907956,-0.67048,-0.018180804,-0.38659522,-0.17528376
chr1-66862768-66863589,-0.4740641,0.0024665704,0.045323756,0.54143363,-0.037138935,0.12320535,-0.48699847,-0.070922814,0.14418177,0.45756504,-0.15505128,-0.25366077,0.70002884,-0.47017774,-0.0068686805,-0.14866227,-0.28894964
chr1-71102553-71103363,-0.5101188,-0.0014516021,-0.022804216,0.3500836,0.033778507,0.21908917,-0.15522856,0.0112250745,0.12826887,0.60430366,0.0033190008,-0.03882769,0.05407045,-0.24879833,-0.001166742,0.11476456,-0.31155622
chr1-72211796-72212699,-0.9142424,-0.005797831,-0.0058193714,-0.14171028,0.26201922,-0.6156078,0.19862907,0.13718969,0.3288108,-0.5960388,0.20420627,0.001694159,-0.093021356,-0.13535939,-0.010544684,0.37917897,-0.4284645
chr1-73962722-73963584,-0.9106334,-0.0036760492,-0.017345304,0.3762541,0.0940035,0.45269287,0.21426255,0.0075388825,-0.055849623,0.3228386,0.04629207,-0.6781688,0.67350614,-0.2590081,-0.0031935312,-0.23684126,-0.15950581
chr1-74295391-74296313,-0.9105072,-0.09678845,-0.13287373,0.5427533,0.8895303,0.31569737,-0.23780748,-0.23590165,0.017142935,-0.3202691,-0.11601194,-0.5341022,1.9241422,-0.98729366,-0.083212,-0.42134967,-0.36407253
chr1-74303611-74304502,-0.11716172,-0.014187312,3.97952e-05,0.27006084,0.39331704,0.7342484,-0.48591813,-0.12335606,-0.07379541,0.3407164,-0.037570257,0.19727132,0.36802948,-0.27368683,-0.009179117,-0.11083121,-0.42231336
chr1-74661310-74662190,-0.001225803,-0.0005751055,0.00019163119,-0.028283922,-0.15482393,-0.21060227,-0.048682146,0.0034750674,0.01435337,-0.23889042,-2.7463362e-05,-0.19450471,0.03620351,0.0033053304,-7.057362e-05,-0.020200904,0.010002629
chr1-75141162-75141875,0.20613517,0.0012816681,1.006016e-05,-0.037786286,-0.17837933,-0.12186482,-0.005573915,0.0026540973,-0.00735467,-0.1245399,-0.004154431,0.058342174,0.17233966,0.0284218,-0.0002300501,-0.0039046956,0.05498642
chr1-75317225-75318141,0.4059479,0.01035686,0.012518243,-0.12573299,0.24169464,0.15692441,-0.26198345,-0.11141522,-0.15090139,-0.043083996,-0.040367045,0.61545485,-0.09724951,0.12431225,-0.0013430584,-0.5740801,-0.13590674
chr1-75435565-75436438,-0.030104805,-0.0027426344,0.0009611935,-0.09012052,-0.2623893,-0.49820137,0.19349086,0.00056563976,0.03892781,-0.22423016,0.00036251912,0.1752844,-0.38098174,0.09067665,0.0015867916,0.0053659705,-0.08339156
chr1-75521184-75522073,-0.16811562,0.0016512461,0.003522845,-0.12801898,-0.34565628,-0.18892789,0.09591638,0.007417416,0.018593414,-0.81362116,0.0053934543,-0.13360333,-0.038598917,0.0363525,-6.538136e-05,0.02999707,-0.19937555
chr1-78488509-78489426,-0.003750965,-0.0035855996,-0.0014288531,-0.24405973,-0.24735488,-0.42114535,0.36863074,-0.0005657895,0.12351074,-0.67755336,0.021502761,-0.0797009,-0.58086324,0.31529212,-0.0006258435,-0.033674415,0.0029533291
chr1-79761282-79762137,0.51396143,0.002904727,0.0016701312,-0.1337218,-0.42661443,-0.18242434,-0.19902737,0.008251117,0.008902148,-0.40620124,-0.021442339,-0.34474376,-0.37767607,0.033382013,0.0014196405,-0.0025832413,0.49173826
chr1-80758134-80759027,1.1247787,-0.0031623086,-0.012206625,-0.36988777,-0.18742572,-0.21265812,-0.09960779,-0.08159943,-0.18896997,-0.7601967,0.0135588115,-0.1553972,-0.43883866,0.43141702,-0.0042393515,0.38606253,0.17629045
chr1-82724577-82725449,0.11654541,-0.0020113238,-0.0018065386,-0.10311582,0.15620048,0.3409517,-0.06640991,-0.004443197,-0.0024084311,-0.05093853,-6.860111e-05,0.07724453,-0.11001715,-0.024165757,-3.3699864e-05,-0.0036386168,0.028926235
chr1-85793115-85793916,-0.28081965,0.0011310125,1.7265773e-05,0.04227147,-0.06867659,0.043547146,0.018629856,0.00079887314,-0.0023511816,-0.012558741,0.0029205764,-5.85015e-05,0.12409109,-0.026947508,0.00037689798,-0.02844621,-0.039585814
chr1-85895326-85896113,-0.09142638,-0.0014744136,-0.0047371364,-0.28084895,-0.6852706,-0.124225534,0.21385527,0.04465499,0.2837084,-0.6130649,0.011301626,0.010109062,0.12177171,0.056924753,-0.0011580418,-0.10228327,0.0034081142
chr1-86178605-86179506,1.1308371,-0.03101137,-0.01565859,-0.6140806,-0.44711307,-0.5359727,0.25777766,0.016145624,0.033083998,-0.7023061,-0.09969803,0.0076952265,-0.6914656,0.83898604,-0.022169411,0.45827502,0.015839174
chr1-86359042-86359887,0.02810032,-4.2600037e-05,-0.0010296914,-0.13878487,0.005859881,0.09175423,-0.023644345,0.002434664,0.00053751306,-0.300621,0.0006066492,0.5657076,-0.29241875,0.028695492,-0.0006339006,0.014590133,-0.019362414
chr1-87588986-87589849,1.288635,0.015576428,-0.23150094,-1.0431981,-1.0823762,-1.0164616,0.47804067,0.3469845,0.52845734,-0.7057571,0.32619438,-0.11876631,-1.5379456,1.5456411,-0.04679496,0.63654035,-0.4712737
chr1-88277151-88278033,0.21532948,0.00047191748,-3.9974566e-05,-0.23565239,0.019450814,-0.123300076,-0.06164185,0.0006095678,-0.0061610662,-0.11388492,-0.013744178,0.34556165,-0.010591213,-0.002679952,-0.00044826706,0.22040445,0.008837311
chr1-88745040-88745909,0.32501292,-0.0018221948,-0.0013727224,0.008420398,-0.522974,0.07428969,-0.0348209,0.019837227,-0.011424597,0.16163552,0.005193917,-0.10275714,-0.3103576,0.026166499,-0.00081988575,-0.031499665,-0.2518281
chr1-89606457-89607271,-0.6830683,0.0033577057,0.008106463,-0.61509705,0.24467865,-0.69990647,0.39525306,0.0993422,0.0899898,-0.51878446,0.029405314,-0.35502896,0.21917182,-0.17358562,0.010060158,0.48141488,-0.21549821
chr1-90602947-90603862,0.6403756,-0.0013288236,-0.0003163585,-0.07817025,-0.09986873,0.085341,-0.05909739,-0.02052443,-0.0020364334,0.047469642,-0.03209765,0.008122626,-0.24241896,0.08738602,-0.00045968615,-0.17689647,-0.0840495
chr1-91052645-91053520,-1.0245218,-0.0006060175,0.032158606,0.277317,-0.50948745,0.46745777,-0.037238114,0.014899726,0.13741599,0.5016636,-0.0015844239,0.26290652,-0.12472484,-0.75703055,0.0026535706,-0.27262002,-0.40522116
chr1-91297810-91298720,0.06016264,0.00077500247,0.000790087,0.08648592,-0.20734513,-0.061058052,-0.0077403258,-0.0013758014,-0.01166954,-0.20074958,-0.0005845653,0.23803678,-0.05133318,0.022498792,-0.0003448547,-0.012600281,-0.019823862
chr1-92180088-92181092,0.1916483,0.0006288364,-0.0010881654,-0.06964593,0.25189206,0.12852022,-0.11340973,-0.008083544,-0.04597549,-0.13209523,-0.008644334,0.04965607,0.3683911,0.08190085,0.00043895797,-0.005929747,-0.058948215
chr1-92641510-92642407,0.042584736,0.002926358,-0.004114778,-0.2490517,-0.2844295,-0.5112419,0.06778617,0.022998888,0.046158485,-0.7264799,0.027414009,-0.019543197,-0.14379153,0.08542395,-0.0002888606,-0.0063112164,0.011445903
chr1-93305416-93306324,0.05432041,-0.00022031728,-0.0005180847,-0.32560188,-0.09406217,-0.41029888,0.03768214,0.0017139029,0.017626131,-0.64737344,0.0046593556,0.06567082,-0.07834588,0.056252386,-0.0012163906,-0.019513754,0.0072485586
chr1-93445231-93445952,-0.8422603,0.0050596544,-0.0059387465,0.32447416,-0.011022424,0.33349988,-0.25450087,0.015094907,-7.642184e-06,0.078826904,0.020243295,0.29981464,0.24838501,-0.32424483,-0.0034172507,-0.09730176,0.014784867
chr1-93478266-93479045,0.14651284,0.001866167,-0.007834175,0.0008768304,0.08430465,0.29660022,-0.31008837,-0.0061858296,-0.014530701,-0.17977753,-0.008211583,0.6324343,0.2684404,0.016830549,8.3943865e-05,-0.9527068,-0.03874427
chr1-93511586-93512491,-0.3134215,-0.0004236629,-0.00042165536,-0.026188523,-0.019084435,0.2036621,0.013225471,0.0023077063,0.005202521,0.14079463,0.0050476533,0.00592384,-0.019164449,-0.03108866,0.00053989765,-0.0326157,0.010161336
chr1-94034850-94035706,-0.27126002,-0.016546426,-0.026642064,-0.32248718,-0.4659771,-0.3910447,0.46810806,0.25757656,0.44174817,0.025876483,0.03383481,-0.26418927,-0.06323202,-0.11747069,-0.0049176016,-0.120649695,0.12301383
chr1-94078815-94079708,0.089629844,0.00010519366,0.009778423,-0.21932472,-0.13735668,-0.59992385,0.10665191,0.036876027,-0.00783388,-0.36894023,-0.021752277,0.1516264,-0.5156516,0.31774002,0.0075124134,-0.06773476,-0.13413414
chr1-95313339-95314162,-0.16632526,0.0005729037,0.0019063462,-0.05687692,0.06262416,-0.35007402,-0.020370714,0.0039805914,-0.0009078716,0.015980957,0.0014297286,-0.12220456,0.008075479,-0.0052336324,4.959948e-05,-0.0065804473,-0.030266037
chr1-97769750-97770649,-0.054248974,-0.0023120972,-0.0005093275,-0.18202718,-0.3498369,-0.18325333,0.01584949,0.0045399307,0.05067754,-0.067931965,0.009304149,0.15812516,-0.28772587,-0.06745676,0.0009406483,-0.0027826224,0.04420739
chr1-105780198-105781122,-0.43924764,0.0024757062,-0.011134124,-0.17601298,-0.04310221,-0.4194327,0.50471747,0.041407797,0.018546578,0.040446818,-0.015448174,-0.17782222,-0.5117576,-0.11190212,0.0014207097,0.039507847,0.5306898
chr1-105990014-105990874,-0.05194252,0.00024072465,0.00078627974,-0.018986167,-0.04489031,-0.02872028,-0.007687918,-0.00019197172,-0.00021958775,-0.07172068,-0.0005670966,-0.05173231,0.06627773,-0.002800645,-9.927955e-06,-0.013341606,-0.004203131
chr1-112457152-112458036,0.24940586,0.003455661,0.017402075,-0.03826419,-0.8991507,-0.16903348,0.14266206,0.00034540796,-0.07313647,-0.14777064,0.011102476,-0.059658103,-0.6560567,0.07661736,0.0005646913,0.06649564,0.105150655
chr1-119912778-119913678,0.15736455,-0.0002235523,0.0053251265,-0.19351602,-0.35233578,-0.39816716,0.10912721,0.0077479947,0.05046406,0.0068075755,-0.0009099922,-0.08538876,-0.61190194,0.015815623,0.00018043896,0.04509183,-0.14891952
chr1-120264823-120265698,-0.44597423,0.0040951893,-0.00012667265,0.5822022,0.031589672,0.42008048,-0.1821706,-0.037666958,0.0660315,0.53402996,-0.014909979,-0.048730936,0.56945634,-0.35254937,-0.0036309513,-0.24026047,-0.6241732
chr1-121567452-121568352,-0.039990053,-0.0009903519,-0.0004995299,-0.09003541,-0.11277446,0.08235866,0.17031352,-0.006809885,-0.040537957,-0.2292945,-0.0013121447,0.16532004,-0.21886396,0.085280806,-0.0003906484,0.013014626,-0.01616697
chr1-125560274-125561182,-1.8349674,-0.039879117,0.023098495,0.0050449823,0.12070353,0.56148666,0.027718699,0.21207775,0.10166577,0.4702635,-0.02520595,-0.08463277,0.38378742,-1.6205782,0.030465446,-0.06929748,-0.062216952
chr1-127868385-127869262,0.7155093,0.0037236905,0.0005873354,-0.14441347,-0.21845616,-0.5756948,0.016142353,0.0011482119,-0.043730035,-0.2247286,-0.01004958,-0.3407066,-0.392457,0.34324756,0.0013616785,-0.09881043,-0.03943557
chr1-128102642-128103518,0.13695584,6.303995e-05,-0.0003346173,-0.051625736,0.14968075,-0.023095498,-0.15295205,-0.0032734112,-0.0077252504,-0.16085014,0.0110823335,0.35602018,0.2450599,-0.011048291,-0.00040902925,-0.121605694,-0.064374216
chr1-128416813-128417653,0.32218295,-0.0010479995,0.009146331,-0.13464983,-0.29895946,-0.012723876,-0.011955642,-0.012876511,-0.032910906,-0.4545525,-0.0063424413,0.1284211,-0.15706548,0.07091664,0.00037532847,0.005206564,0.06881993
chr1-131052919-131053808,-0.90073615,-0.0025318942,0.029043844,-0.31205663,-0.041691605,-0.8608174,0.4957111,0.0837113,0.12900546,-0.3262413,0.17669597,0.17102696,-0.75728816,-0.18849815,0.00014551776,0.21489906,0.01036522
chr1-131096455-131097227,-0.52760756,-0.0008450447,0.0017795098,0.093428046,-0.17163707,0.018152572,0.10446297,-0.0037843043,0.16578518,-0.38214263,0.001357515,-0.20944223,-0.12563623,-0.032527044,0.0015850995,0.016064305,0.1615975
chr1-131527160-131528096,0.56680936,0.00814061,0.0053328,-0.13057987,0.05810052,0.15999562,-0.11037191,-0.03261854,-0.38778707,0.14139652,-0.16483489,0.11499594,0.1530566,0.16966982,-0.0118466215,0.035140898,-0.166217
chr1-131554833-131555742,0.3741535,-0.0006942308,0.0015210216,-0.15153043,0.5450962,-1.2302463,0.07684507,-0.0021883016,-0.041424442,-0.49177852,-0.021848349,-0.22883111,-0.41783446,0.18613385,0.0033306566,0.20884266,0.0073996517
chr1-131657709-131658616,0.2692188,-0.0007473773,-0.007175993,-0.45547485,-0.14756683,-0.40853673,0.5425873,-0.0036285531,0.044519592,-0.6287208,0.040165994,0.32947925,-0.1524123,0.05023296,-0.004726385,-0.019633781,-0.040338784
chr1-131754887-131755766,-0.34757102,-0.0036797798,0.029657643,-0.54973054,-0.762461,-0.35781625,0.49594402,0.12857692,0.053652294,-0.16104972,0.1898577,0.19989504,-0.79343677,0.1283454,0.00983642,0.07923468,-0.21303476
chr1-132007506-132008169,0.02766335,1.8540617e-05,0.0011864697,-0.062455416,-0.24076533,0.2381103,-0.06294907,-0.002409755,-0.0065039285,0.08432597,-0.0037640322,0.20283064,-0.25640413,0.0021801163,0.00016900637,0.025000427,-0.0014936824
chr1-132623465-132624350,-0.64248806,-0.01791676,0.0025751693,-0.8603512,-0.54408026,0.01823622,0.49105322,0.310639,0.46605355,-0.59143955,0.38529706,0.27326134,-0.79669684,-0.059306026,0.02700804,-0.013203879,0.29765698
