method,dataset,metrics,score
spamv,Dataset9_Mouse_Brain_H3K27ac,jaccard_RNA,0.054218553747572916
spamv_scaled,Dataset9_Mouse_Brain_H3K27ac,moranI,0.23637991297974711
spamv_scaled,Dataset9_Mouse_Brain_H3K27ac,jaccard_ATAC,0.0075057399881663595
spamv,Dataset9_Mouse_Brain_H3K27ac,jaccard_RNA,0.05112040714585791
spamv,Dataset4_Mouse_Thymus2,moranI,0.32317413940016587
spamv,Dataset4_Mouse_Thymus2,jaccard_RNA,0.0531622169823929
spamv,Dataset4_Mouse_Thymus2,jaccard_Protein,0.0563541507800963
spamv_scaled,Dataset4_Mouse_Thymus2,moranI,0.3116566404744585
spamv_scaled,Dataset4_Mouse_Thymus2,jaccard_RNA,0.04451934042950854
spamv,Dataset4_Mouse_Thymus2,jaccard_Protein,0.0498485879025199
spamv,Dataset2_Mouse_Spleen2,moranI,0.45251616731326516
spamv,Dataset2_Mouse_Spleen2,jaccard_Protein,0.06686180497652316
spamv,Dataset2_Mouse_Spleen2,jaccard_RNA,0.03958790400888147
spamv_scaled,Dataset2_Mouse_Spleen2,moranI,0.3872130826740138
spamv_scaled,Dataset2_Mouse_Spleen2,jaccard_Protein,0.07473879812507221
spamv,Dataset2_Mouse_Spleen2,jaccard_RNA,0.040371245261098886
spamv,Dataset13_ccRCC_R114_T,moranI,0.6338498874155234
spamv,Dataset13_ccRCC_R114_T,jaccard_ATAC,0.18051292608965475
spamv,Dataset13_ccRCC_R114_T,jaccard_RNA,0.23735774566263323
spamv_scaled,Dataset13_ccRCC_R114_T,moranI,0.6325793422634717
spamv_scaled,Dataset13_ccRCC_R114_T,jaccard_ATAC,0.1806830004447795
spamv,Dataset13_ccRCC_R114_T,jaccard_RNA,0.2002768281970272
spamv,Dataset14_ccRCC_S15_T,moranI,0.6164425915607942
spamv,Dataset14_ccRCC_S15_T,jaccard_RNA,0.17512523592980042
spamv,Dataset14_ccRCC_S15_T,jaccard_ATAC,0.1676455207183286
spamv_scaled,Dataset14_ccRCC_S15_T,moranI,0.6355384563672642
spamv_scaled,Dataset14_ccRCC_S15_T,jaccard_RNA,0.15208163280578768
spamv,Dataset14_ccRCC_S15_T,jaccard_ATAC,0.1783664987135757
spamv,Dataset15_ccRCC_X49_T,moranI,0.5716926533214253
spamv,Dataset15_ccRCC_X49_T,jaccard_ATAC,0.15311883817045993
spamv,Dataset15_ccRCC_X49_T,jaccard_RNA,0.22426642148210008
spamv_scaled,Dataset15_ccRCC_X49_T,moranI,0.6309760632261193
spamv_scaled,Dataset15_ccRCC_X49_T,jaccard_ATAC,0.15821898844411064
spamv,Dataset15_ccRCC_X49_T,jaccard_RNA,0.1783748856201655
spamv,Dataset16_ccRCC_Y27_T,moranI,0.6294480289089909
spamv,Dataset16_ccRCC_Y27_T,jaccard_ATAC,0.14018982105097055
spamv,Dataset16_ccRCC_Y27_T,jaccard_RNA,0.19092840558291324
spamv_scaled,Dataset16_ccRCC_Y27_T,moranI,0.6050272587187141
spamv_scaled,Dataset16_ccRCC_Y27_T,jaccard_ATAC,0.14957857091106494
spamv,Dataset16_ccRCC_Y27_T,jaccard_RNA,0.1639644652202315
spamv,Dataset17_ccRCC_Y7_T,moranI,0.6191741540372689
spamv,Dataset17_ccRCC_Y7_T,jaccard_ATAC,0.22125012595963722
spamv,Dataset17_ccRCC_Y7_T,jaccard_RNA,0.26962356047952374
spamv_scaled,Dataset17_ccRCC_Y7_T,moranI,0.5987351803437595
spamv_scaled,Dataset17_ccRCC_Y7_T,jaccard_ATAC,0.19108280834295527
spamv,Dataset17_ccRCC_Y7_T,jaccard_RNA,0.211602526745444
