,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 7,RNA private topic 8
TNFRSF1B,-0.0033407158,0.06260557,-0.0008015828,-0.8452681,-0.015893267,-0.10301354,0.3965715,-0.03734947,0.0028233936,0.08569279,-0.00014121983,0.00013897858,-0.14268309
PRDM2,-0.0007891374,0.06173778,0.029237643,-0.9550984,-0.018604098,-0.07311905,0.24670392,0.07846424,0.0055500027,0.02324845,0.0010909828,0.0037235916,-0.014240017
EFHD2,0.006914778,0.00039930598,-0.22022167,-0.48876405,0.091044635,0.53122103,0.13774315,0.43267974,-0.058389623,0.78560984,-0.0012256367,0.0045467517,-0.023914669
PLEKHM2,0.00046222532,0.10622564,-0.06378209,-0.46220535,-0.013725455,0.25203648,-0.3093987,0.471941,0.00035986176,-0.18835117,0.0010089558,-0.0017768496,0.02720753
SPEN,0.002721502,0.07556982,-0.011509329,-0.35531658,-0.024732705,-0.8571401,0.2805475,-0.2827633,-0.02175685,-0.6831419,0.0025044328,-0.01030244,0.04317893
NECAP2,-0.004293467,0.07121039,0.030756533,-1.5624439,-0.029100355,0.34910858,0.6990546,-0.74753904,0.01446178,-0.037449162,-0.00445394,0.007625757,-0.032974213
RCC2,-6.2582156e-05,0.7166217,-0.45033187,0.44354698,-1.2866074,-0.08565016,0.17713386,-0.42567092,0.02137722,0.22528012,-0.005881824,0.02675775,-0.34021515
UBR4,-0.028730134,0.37748298,0.2788712,-1.483524,-0.3043071,-0.29583943,0.5303981,-0.5111407,0.12906083,-0.581019,-0.0065421974,0.00059039565,-0.42281276
CAPZB,0.0008927379,0.41389003,-0.14936209,0.09615664,-0.22667989,-0.12160848,0.4748333,0.52409637,0.00031808467,-0.07483995,-3.9385584e-05,0.03201933,-0.026258856
MICOS10,-0.00010132339,0.4958403,-0.4298306,-1.2231661,-0.08576867,-0.032777485,0.58175665,-0.10094014,-0.008781171,-0.26368782,-0.008857023,0.019159522,-0.039314665
NBL1,0.0001405682,-0.62282753,0.15046299,0.39720947,-0.9745528,-0.43588814,-0.24549337,0.9435556,0.048986662,-0.15236135,-0.043943163,0.015003722,-0.6544491
HP1BP3,-0.004075369,-0.036021214,0.16601653,-1.7027967,-0.009125684,-0.03652132,-0.1096184,-0.08963338,0.0036259298,-0.1192193,0.0003738472,-0.0047684805,-0.0027665317
ECE1,-0.0037012675,0.10383977,-0.25279763,1.0225508,-0.13301866,0.56177485,0.02256507,0.21233767,-0.041305285,0.5473154,-0.006495091,0.00014410996,-0.05052309
USP48,-0.0021640058,0.10067559,-0.0094680395,-0.019300517,-0.0149853835,-0.16367558,0.025006663,-0.25489554,-0.00089736114,-0.053054243,-1.9452391e-05,-0.0007450805,0.0029425737
C1QA,0.10294846,-0.65061486,-0.85882807,-0.3004032,0.35162976,1.242963,-0.5500917,0.17619807,-2.5932095,0.9136081,0.038616966,0.3167414,0.4177664
C1QC,0.24577984,-0.47229216,-0.6522114,-0.07923263,0.38837945,1.1907058,-0.13246703,-0.50772583,-2.169587,1.0304624,0.031672873,0.6716982,0.21055816
C1QB,0.34179202,-0.5754891,-0.84188986,0.060615662,0.25947353,1.3444726,-0.1818181,-0.73467654,-1.5038956,1.1297904,-0.024614803,0.6481731,0.31802472
HNRNPR,0.007195949,0.3140918,-0.16435179,-0.5439551,-0.76645565,-0.14526401,0.48538795,0.3241316,0.013159543,-0.17577802,-0.002717178,0.02292693,-0.025303956
ID3,-0.0645744,0.16053277,0.03411744,0.29135785,-0.30947292,-1.3593931,-0.53434396,0.8003154,0.021225141,-0.45019373,0.011467681,-0.038539216,-0.1849779
FUCA1,0.22541763,0.8680233,-1.9288592,-1.5230646,0.35812765,1.0110787,0.02385516,0.55330884,-0.9364035,0.61793244,0.0075635645,0.30465508,-0.2023893
PNRC2,-0.0016097862,0.11160823,-0.045130786,-0.4118573,-0.0137993945,0.40953407,0.07760751,-0.063710615,-0.009457823,0.050847456,0.0019257625,0.0020556813,-0.032151755
RCAN3,-0.040566288,0.040512674,0.59208083,-1.808689,-0.026607297,-1.4645746,0.57737315,-1.7408979,0.28012493,-0.78611183,0.00287103,-0.05557424,-0.10384064
SRRM1,0.0031481846,0.21134074,-0.0643026,-1.2372464,0.06310676,0.55675226,0.2502511,-1.6041313,-0.009137059,0.17389345,-0.0010193653,-0.0043863743,-0.010515973
RUNX3,-0.020739242,0.23370786,0.1272865,-2.1410377,-0.13672854,-0.40919748,0.60398823,-0.5569084,0.08215006,-0.056793336,0.00085760135,-0.052241363,-0.0034204458
SYF2,-0.0012389346,-0.08740862,-0.020569198,-1.1449118,0.010753765,0.11875381,0.2995629,-0.32538283,-0.008165102,-0.02587376,0.00037076857,-0.0013731126,0.0087046875
RSRP1,0.015096451,-0.0027655023,-0.058109842,-1.6714548,-0.030448286,-0.20598772,0.11916956,-0.46731994,-0.0033203003,-0.3809689,-0.00547875,0.016301297,-0.017939322
TMEM50A,0.00085510535,0.017293762,-0.35633,0.6752541,-0.017551903,0.9121224,-0.2925062,-0.16717164,-0.04465041,0.42407352,-0.005743454,0.028792663,-0.0043438515
LDLRAP1,-0.014196043,-0.3944562,0.21642421,-0.5428101,-2.5102085e-05,-1.1492653,0.6127648,-0.8332488,0.039563343,-0.45300663,-0.0019778125,-0.038627904,-0.060766153
SELENON,0.021310592,-0.19921686,-0.012182424,0.4991884,0.017555386,0.482755,-0.595739,-0.79500496,-0.05629759,0.21883895,0.002450522,0.13332862,-0.028570564
SH3BGRL3,-0.0039604446,0.035351224,-0.05985078,-0.21522187,0.010954181,0.09956204,0.33016247,-0.46054602,-0.0026423305,-0.09714451,0.0020952036,0.0015137756,-0.1301064
CD52,0.001812335,0.32521904,0.01350961,-1.9018775,0.013759109,-0.11629614,0.337437,-0.52322364,0.011125449,0.05447207,-0.004576597,0.012655932,-0.03008968
ARID1A,-0.004988061,0.11245259,0.061794255,-0.76509434,0.008529454,-0.7740371,0.15895395,-0.7950296,-0.0018978964,-0.2468231,0.00041874786,-0.016635584,-0.022097144
NUDC,-0.009586024,0.1621243,-0.046484232,-0.5279003,0.014614579,0.22263497,0.20095906,0.21184812,0.004007632,0.047177337,-0.00010351925,-0.002033987,-0.0078094844
WDTC1,0.003953022,-0.0022534614,-0.02625151,-1.1555423,-0.015434439,0.20347698,0.17274858,-0.5869005,-0.012590502,-0.04585768,6.843508e-05,-0.0032323983,-0.00981096
SYTL1,0.009696689,0.32920197,-0.014202278,-1.0537292,-0.019086877,-0.65084934,0.3803595,-0.8282013,-0.007000889,-0.49844703,-0.00034835923,-0.002784757,0.03353624
WASF2,-0.0042382185,-0.088096894,-0.16849326,0.5094629,-0.093018964,0.55464965,-0.4073582,0.21008162,-0.029533058,0.11131779,-0.0008657105,0.0031011892,0.014298068
STX12,-0.01294554,-0.2351893,0.18359977,0.7394063,-0.020632066,-0.21529634,0.21726711,-0.5632365,0.013652141,0.12573637,-0.00032103545,-0.001973382,-0.05180783
PPP1R8,0.00016908391,0.022333754,0.015092304,-0.38402513,0.010654031,-0.3899401,0.1256708,-0.7170421,-0.0025490602,-0.19983335,0.0010434235,-0.0040310873,0.021331957
THEMIS2,-0.0006828897,-0.3211238,0.010734708,-0.04858966,-0.0035297878,0.4584104,-0.28061873,0.026854865,-0.015014501,-0.0048268535,0.0005604524,-0.0053168996,0.012332005
ATP5IF1,0.0011417449,0.13910039,-0.030988682,-0.21871476,-0.008035459,0.07116298,-0.116868965,-0.52850044,0.0027090942,0.027206631,-0.00011319581,-0.006237813,0.003280041
EPB41,-0.0984001,-0.042807035,0.35981777,-0.69349545,-0.22863744,-0.2144695,0.19380799,-1.3033973,0.05606054,-0.38405257,-0.0025005674,-0.067926615,-0.25931838
SRSF4,-0.00072419684,0.022152815,0.0018083476,0.33025742,0.040826764,-0.049091857,-0.049079716,0.1383438,-0.004768134,0.038303312,0.00042052296,-0.0024158943,0.003747531
LAPTM5,0.005287324,0.47992578,-0.29056674,-0.8885008,-0.059020124,0.5084748,0.159035,-0.5375183,-0.017859254,-0.0020723674,9.463429e-05,0.04091677,0.0068730493
SDC3,0.67258066,-0.7873918,-1.0292302,-0.41616258,0.59316164,1.2077018,-1.0063165,-0.041364685,-3.554598,1.248405,0.072303906,0.87608147,-0.10281053
PUM1,0.0009999292,0.044747245,0.021143353,-0.3604438,-0.0123184025,-0.3955601,0.004605426,-0.44803482,-0.0037881073,-0.29483178,0.00082322094,-0.001492643,-0.00061096554
TINAGL1,0.039657965,-1.0319147,-0.32603213,0.35716963,0.28899828,0.8079681,-1.6119812,0.6393281,-0.7391397,0.3208149,0.0237265,-0.014093902,0.7670842
LCK,-0.14700899,0.21181326,0.24918045,-1.7231811,-0.41251767,-1.118222,0.84650207,-0.9490144,0.9936247,-1.1512607,-0.0864866,-0.50189567,-0.70672584
HDAC1,-0.042877473,0.29504728,0.29510745,-0.2573123,-0.5927705,-0.46459055,0.35463935,-0.5781494,0.06440869,-0.5851952,0.0016434595,-0.00844635,-0.03260975
MARCKSL1,-0.03625845,0.8188681,-0.68271446,-0.35743406,-0.3365008,0.18876785,0.8399503,0.43995637,0.052686978,-0.25010562,-0.012586429,0.012626348,-0.015361851
BSDC1,-0.003971106,0.023711512,0.04735941,-0.2019808,-0.043808058,-0.19419415,0.08951715,-1.242227,0.012697003,-0.09721093,-0.00052335794,0.0025094498,-0.0124426475
PHC2,-0.00970048,0.047578752,-0.062387332,0.74946296,-0.045823924,0.32573888,-0.06847184,0.36129558,-0.017821176,0.07713743,-0.001229946,0.003971474,-0.018130293
AGO1,0.0019384373,0.23336494,0.026762132,-1.2254609,-0.09731412,0.083881155,-0.06486462,-0.685406,-0.0057344544,0.009541049,-0.0013623163,0.005406887,-0.038863532
TRAPPC3,0.00075624726,-0.24616437,0.06286377,0.527937,-0.046652317,-0.6810019,-0.2547191,-0.22773528,-0.011558019,-0.1662477,0.001703311,-0.0046152407,-0.007444964
MAP7D1,-0.0011541785,-0.11845508,0.13167423,0.039255608,-0.016659819,-0.3601973,0.32917023,-0.43784204,0.015403574,-0.04869596,0.00018241236,-0.0011484274,-0.037035953
THRAP3,0.009078896,0.29549387,0.05785171,-0.31933075,-0.03210428,-0.26612228,0.089848794,-1.4005002,0.011896211,-0.34299436,-0.002985849,-6.1559535e-05,0.023206485
STK40,-0.009868175,0.25626314,-0.1496697,0.45972514,-0.16765726,0.43238106,0.019659143,0.47737935,-0.0062770895,0.088581145,-0.0013740825,0.011473694,-0.0059755035
INPP5B,0.013512027,0.37881276,0.15506867,-1.0456583,-0.18071884,-0.690764,-0.21427765,-0.5643441,0.03507394,-0.4310497,-0.0046522664,-0.006762742,-0.02881386
NDUFS5,-0.027508385,-0.04267465,-0.013827703,-0.27890947,0.10157976,-0.010406259,0.22824524,0.09885075,-0.006704082,0.15759297,-0.0006400523,-0.007618435,-0.016162053
MACF1,-0.0008673086,0.19000575,0.01567221,-0.71128684,-0.10503991,0.12447443,0.40055722,0.019715054,0.0075099766,-0.08333892,-0.00063102867,0.0029601804,-0.0033181575
PPIE,-0.008369816,0.1347904,-0.03910096,-0.36881405,0.03944698,0.41760835,0.2254144,-0.8884693,-0.018227583,0.19035785,0.0004904045,-0.0035405466,-0.004859435
CAP1,-0.013475511,0.23409556,-0.075421855,-0.9357037,0.013891763,0.4101872,0.44765085,0.22452848,-0.0044401824,-0.29954123,-0.0022902763,-0.009994544,-0.08426463
PPT1,-0.0075451904,-0.2949466,-0.74621594,-1.1078966,0.067857146,0.70926064,0.46084467,0.3033451,-0.016409012,-0.35612974,-0.0024358255,0.00512151,-0.003872588
SMAP2,0.0025564416,0.14775811,-0.047431692,-1.0629117,0.0055663427,0.4044153,0.26602286,-0.70066065,-0.017154422,-0.098720685,-0.0035335254,0.003628099,0.047045
YBX1,0.011662494,0.07058234,-0.3654783,0.07911921,0.04421106,0.5277743,-0.018015748,-0.38959792,-0.06520641,0.083427735,-0.0009293071,0.011521716,-0.0079806745
SLC2A1,0.015619618,0.6836553,-0.2693802,0.23271668,-0.010146583,-0.68633485,0.11186335,-1.3299608,-0.030995833,-0.7687769,-0.0019224281,0.0068263933,-0.2864136
HYI,0.0019928187,-0.2356311,0.018426782,0.5832796,-0.013190665,0.21447478,-0.09410545,-0.5952942,0.0024227046,0.2023663,0.0007022986,-0.0032161134,-0.0074457596
ATP6V0B,0.006571404,0.21143898,-0.025783401,0.51037383,-0.07045479,-0.165475,-0.22254246,0.3012938,-0.0010407192,-0.014396992,-0.0008250501,0.005801165,-0.024547819
RNF220,0.0032183654,-0.06179984,0.024220213,-2.2906528,-0.027978601,-0.24811651,0.21929412,0.12659043,0.007910896,-0.17173044,0.00035120503,-0.0052828863,0.0077548493
UROD,-0.0023444477,-0.22789921,-0.029622227,-0.3880232,0.019967763,0.19412227,0.100545086,-0.54238427,0.005988404,-0.043239888,0.0010841689,0.0014512904,-0.0050746836
AKR1A1,0.00089969905,0.13579634,0.0022539906,0.31281343,0.04689227,0.49288768,-0.04387108,-0.08156251,-0.0071071065,0.096588776,0.0029305103,-0.0031367373,0.02014765
GPBP1L1,-0.00014715915,0.1288729,-7.3590316e-05,-0.6834935,-0.015468976,0.13795064,0.17049031,0.28854942,-0.008921372,0.19874184,-0.00013977394,0.0011197852,-0.007801162
MOB3C,0.014463877,-0.6992287,-0.06059179,-0.7056242,0.1722175,0.70738506,-0.28531834,-0.33327642,-0.05560313,0.31132308,-2.8158036e-05,0.0059346505,0.07223803
EFCAB14,-0.000488721,-0.121942066,0.047998257,-0.14003003,-0.007864769,-0.16878007,0.17259963,0.50746185,0.0019363647,-0.09755706,-0.0013107567,-0.0043342556,-0.002902669
CMPK1,0.0024648109,0.18633495,-0.2885703,0.39971247,0.002625388,0.13414511,-0.3037933,-0.6137265,-0.0083235,-0.15403451,-0.0012126662,0.002044305,-0.017680198
EPS15,0.0023223828,0.07806193,-0.008424198,0.03373637,0.0145048145,0.25501618,-0.35670298,-0.5990031,-0.009692049,-0.001500886,-0.00018997648,-0.002301122,0.009508506
NRDC,0.0051244977,0.18916184,-0.043181654,0.22508784,0.01665454,-0.3909231,-0.17480575,-0.82377595,-0.0045238733,-0.07363171,0.00030786355,-0.004210052,-0.0016070812
TXNDC12,-0.00057949004,-0.070156224,-0.004864318,-0.31655815,0.023046901,-0.046244547,-0.02990848,0.30892977,-0.0025098608,0.014649292,-0.00019384679,-0.0002846417,0.00015011549
BTF3L4,0.0072568865,-0.2028429,0.17038953,-1.889171,-0.03264733,-0.40654254,-0.19347145,-0.82733077,0.015625525,-0.34977117,0.005299551,0.012155234,-0.15422915
PRPF38A,0.0014049432,0.014064376,-0.008893695,0.023133611,-0.046149585,-0.27870455,0.5425126,-0.6669682,0.020208972,-0.8353372,0.001306977,-0.0036226339,-0.017557075
TUT4,-0.0298225,0.4848695,0.13157386,-1.6663039,0.038732957,-0.6304402,-0.20123489,-0.41985098,0.013660762,-0.37615874,-0.0050214836,-0.036062337,-0.045147516
ECHDC2,-0.015517962,0.0014012317,0.017966883,0.48408046,-0.09940798,-0.41321698,-0.01210134,0.33459604,0.01389739,-0.06346833,-0.007445335,0.0069969026,-0.049394116
SCP2,-0.004783226,0.2669657,-0.0026858314,0.891754,-0.612551,-0.8966864,0.13818213,-0.048583407,0.014970679,-0.30577183,0.0010052562,-0.016207391,-0.013446943
TMEM59,0.047096517,-0.16983385,-0.2635393,-0.47568062,-0.43402365,0.33715186,-0.11173584,0.70678943,-0.022921592,-0.31115478,-0.0030505029,0.0038556557,0.07330782
SSBP3,0.0012966613,-0.5059524,0.0426652,0.204376,0.028013853,-0.48534468,-0.025808686,-0.5303944,-0.012284122,-0.11939007,0.0007652249,0.00982226,0.0001786973
USP24,-0.0008475316,0.07265615,0.14145707,-1.7150031,-0.02418073,-0.14940836,0.12465533,-0.5928352,0.008622574,-0.06164262,-0.0010068341,-0.0050413143,-0.021424958
JUN,-0.01871257,-0.68552977,0.03624259,0.73880637,-0.11890465,0.42382306,-0.9406329,0.47943684,-0.08824192,0.11538318,-0.0073450427,-0.03639782,0.2540644
USP1,0.01005326,0.09251609,0.21243499,-1.6286674,-0.29500073,0.17559041,0.3506394,-0.94984704,0.014089377,-0.46357986,0.0019185254,-0.0020077906,-0.12279371
JAK1,0.0020508117,0.0627501,-0.02378705,-0.5535035,-0.013562849,0.13204746,0.17424327,-0.29600906,0.0020790484,0.06577359,-0.00059013895,-0.0001478719,-0.061345626
MIER1,0.003871529,-0.054170027,-0.058860235,-1.3274696,0.034493152,-0.17028207,0.1936139,0.50098443,-0.026845701,-0.099949725,-0.0007072911,0.0033301096,0.104988225
SERBP1,-0.02011611,0.30657545,0.06165822,0.32535514,0.017227734,-0.8545827,0.36130574,-0.8468145,0.016450707,-0.5071336,-0.0015427464,-0.03035203,-0.26567015
ZRANB2,-0.000116141724,0.23639134,-0.033032306,0.16638587,-0.0021584106,0.1737841,0.33682117,-0.98893243,-0.013467866,-0.08950256,-0.0024237896,-0.008633289,-0.034451343
FUBP1,-0.003095389,0.36084405,-0.040568396,-0.09452124,-0.05322324,-0.09519299,0.2753368,-0.10941308,0.015012586,0.030173656,-0.002407661,-0.002791613,-0.004207759
CCN1,-0.23503132,-1.1979653,0.38040966,-0.24085677,0.051416323,-0.46599898,-0.3875356,0.31988844,-0.024700627,-0.555041,0.0036922528,-0.7554766,0.14708355
ZNHIT6,-0.012688769,-0.11543527,0.09690493,-1.12329,0.007312959,-0.15863447,0.17459115,0.09177155,0.014855621,-0.41289335,-0.0025109656,-0.0073157107,-0.01079861
SELENOF,0.0017261677,0.013994801,-0.020139068,-1.600751,0.021836609,0.21420291,0.07065926,-0.29503283,0.0022531694,0.017782493,0.0009192061,-0.00776107,-0.006105881
GBP1,-0.032504257,-0.4458287,0.43826514,-0.19902295,-0.31006476,-1.4242996,0.22282626,0.27359518,0.12976708,-0.37587926,-0.00996228,-0.042859785,-0.347323
GBP2,-0.25118846,-0.11263055,0.15906331,-2.054885,-0.11364545,-0.40243128,0.68297523,0.19844098,0.115210846,-0.28396034,0.007363929,-0.05280497,-0.3955204
ZNF644,-0.00026275206,-0.001983742,-0.0034244037,0.028510895,-0.008930705,-0.02471252,-0.103947364,-0.5808655,-0.0013571852,0.037741814,-0.0005236368,0.0013899546,-0.006955519
CNN3,-0.015377149,-0.531461,0.55494237,-0.36022884,-0.06833087,0.31211185,-0.43435156,0.36481515,-0.0036755838,0.0400796,-0.0019429963,-0.008063843,-0.15680368
DPYD,-0.0052880677,-0.45569694,-0.030956926,-0.2812523,0.02479358,0.6593603,0.09913988,0.4874504,-0.010715496,0.13452362,0.00043577384,0.006259144,-0.026764765
RTCA,0.001424959,0.23868978,0.29141206,0.10629823,-0.22219636,-0.56428874,0.44485256,-1.1840129,0.052175596,-0.594572,-0.011423392,-0.0048940186,-0.1945743
VCAM1,-0.0016366213,0.5623431,-0.24327013,-0.6193481,0.00638535,0.6513796,-0.12001556,-0.27385566,-0.038823158,0.26640224,-0.0066550216,0.0146896895,0.027782708
S1PR1,0.041116852,0.02351785,-1.0794477,0.08776202,0.16641974,1.0802488,0.16272712,0.30263326,-0.30311605,0.842151,-0.008097917,0.26135442,-0.117937095
RNPC3,-0.0026312782,-0.26763573,-0.027673755,-0.7763741,-0.0313695,-0.5183688,0.53403205,0.047103573,0.0068672304,-0.17279075,-0.0016562426,-1.8059416e-05,-0.015657367
PRPF38B,-0.007828854,0.36578906,0.14332342,-0.39802057,-0.07927846,-0.4684649,0.29236254,-1.4567165,0.046962906,-0.5246238,-0.006727329,0.018043812,-0.2485304
GNAI3,-0.0060331947,-0.047161747,-0.008630808,0.22556196,0.0021632134,0.32381344,-0.09258693,0.3324879,-0.0034337179,-0.005020975,-0.00012393572,9.223425e-05,-0.019576477
CSF1,0.6286212,-0.48580104,-2.7641263,0.7595979,0.6891964,1.5231621,-0.8821566,0.06892202,-3.0241072,0.68976885,0.020348713,0.65036637,0.57495236
CD53,-0.012418087,0.6210987,0.10238734,-0.49527705,-0.003952796,-0.45285553,0.4363703,-0.34506035,0.027647572,0.15968938,-0.006189725,-0.013014281,-0.004779349
DENND2D,0.0019160567,-0.3700192,0.17366531,-1.1442106,-0.06700443,-0.5177964,0.9121765,-1.5220035,0.28473806,-0.098898426,-0.050286517,-0.046123717,-0.12521523
RAP1A,-0.010868909,0.3865553,-0.13157387,-1.6578333,-0.011216927,0.3030045,0.34636503,-0.53071034,-0.0031477334,-0.37562138,0.0017589723,-0.0067296443,-0.0005584244
RHOC,0.0019522923,-0.3427928,-1.1591408,0.5680321,0.33020708,0.5278234,-0.14185297,0.39892298,-0.09538821,0.2633187,0.0025498765,0.011002362,-0.061122064
AP4B1,-0.006880886,0.22747281,0.46465912,-1.4464003,-0.22012119,-0.87087744,0.2880065,0.08878269,-0.0076477067,-0.1636579,-0.0028599552,-0.015547458,-0.03054157
HIPK1,-0.0044673164,-0.1346059,-0.014870178,-0.5434597,0.018752582,-0.2377045,0.5712226,0.25965407,0.0012663243,0.32544038,0.0005740304,0.00026027995,-0.014483357
TRIM33,-0.0044596377,-0.1660965,0.17199734,-0.63629186,0.021457037,-0.38876706,0.19411828,-1.0321627,0.001331479,-0.24520881,-0.0020665256,-0.002920264,-0.077140436
CSDE1,0.0003749556,-0.124173015,-0.051883772,0.54556125,0.03124092,0.11301494,-0.084864885,0.22985332,-0.015074893,-0.026150966,-0.00090921903,0.0010582323,0.003342794
CD2,-0.13148898,0.34052894,0.33021826,-1.9355719,0.12362383,-1.1711085,0.9860329,-0.87983286,0.5853848,-0.78327155,-0.036877133,-0.39323807,-0.027662307
TENT5C,0.17821693,-0.19084041,-0.63002837,0.26418856,0.43406758,-0.064512566,-1.2363875,0.9693269,-0.7372098,-0.33132213,-0.005683598,-0.18625095,1.386634
NOTCH2,-4.7345493e-05,-0.054786026,-0.022441233,-0.17169648,0.008999564,0.013454856,-0.029461626,0.014739762,-0.0010230588,-0.0019593819,7.504074e-05,-0.00021170375,-0.00025322827
RNF115,0.0013522961,0.09244785,-0.011806795,-0.46292052,-0.04518137,-0.4817737,0.12243107,0.58787745,-0.0210919,0.03327362,0.001372689,0.00043838652,0.009682951
LIX1L,0.0013689843,0.044956714,-0.008228753,-0.093274646,-0.00821762,0.092644975,-0.03192553,0.21180476,-0.003887094,0.054701857,0.0006541485,0.0038540103,-0.003850323
POLR3GL,-0.007999748,0.105235375,-0.0346864,0.47253978,-0.15510294,-0.35626405,0.06154128,0.20727025,0.0071721314,-0.13850091,-0.00040534697,0.00022717447,-0.005524144
