,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 6,ATAC private topic 7,ATAC private topic 9
chr1-39576990-39577715,0.008836041,0.27166817,-0.09788512,-0.051689528,0.307779,-0.2115513,-0.028717471,-0.038165618,0.03401378,-0.010255741,-0.05870785,0.17061487,0.16698796,-0.02782918,0.24190009
chr1-42850889-42851731,-0.0023961365,-0.07938446,-0.00017450264,0.027164223,0.31759825,-0.084772274,-0.002002093,0.0024614611,-0.032901283,0.0020239004,0.10876917,-0.055011414,0.013238229,-0.003394014,-0.027038278
chr1-43092120-43093061,0.018300103,-0.10613168,-0.0088145295,0.32619846,-0.107440695,0.01555222,-0.0013924559,-0.026692165,-0.02968081,0.0025968235,0.008680402,0.022807814,-0.03471351,-0.013860804,0.0020053396
chr1-43098193-43099107,-0.0013674416,0.25923264,-0.019035464,-0.11079312,0.18639612,0.13697784,-0.009482656,-0.0023328403,0.036323085,-0.0052891276,0.06197304,0.0069231763,-0.035660673,-0.009967091,0.16561736
chr1-43163416-43164280,0.05231594,-0.09664267,0.6226894,-0.21210377,-0.36249077,-0.7282436,0.31776336,0.39808694,-0.31632993,-0.081801,-0.33053273,-0.103470385,0.006257907,0.33324906,-0.41375008
chr1-43827425-43828208,-0.025710901,-0.018990222,0.013790519,0.2295759,0.04216734,0.22948651,-0.005722435,-0.017914426,0.13887219,-0.00034562848,-0.16510235,0.040427618,0.038896523,-0.092646405,-0.0007929377
chr1-44118570-44119231,0.001354311,0.15984444,-0.012223798,0.35359868,-0.122098066,0.14768751,-0.006667519,-0.02336313,0.053718474,-0.00033164816,-0.049061824,-0.046288792,0.013750681,-0.008942687,0.009925875
chr1-44147533-44148437,0.0020807413,-0.06053255,-0.009435983,0.16074334,0.09364369,0.2508708,0.0004540527,-0.00494011,-0.06298797,0.00138108,-0.078614846,0.030309785,0.010071446,-0.0012269863,-0.009869627
chr1-45794882-45795804,-0.0064179134,-0.15458956,0.0028409436,0.2813247,0.11511871,0.2576155,0.0031593926,-0.018152636,-0.10199683,-0.0027277207,0.006347779,0.05346199,0.008940432,-0.07355375,0.013741918
chr1-51333752-51334690,-0.0039224643,0.029514648,0.29480985,-0.86574954,0.34213227,-0.66106766,0.22567534,0.18142685,-0.53675944,-0.011414853,-0.47902468,0.2568243,0.18312871,0.01346008,-0.40913987
chr1-51478051-51478930,-0.0016044654,-0.020994607,-0.0035552448,0.24421352,0.33876735,-0.25116834,0.0015520036,0.007110486,0.005110848,0.00032103623,0.012597299,-0.016317012,0.015461049,-0.01052913,-0.034206036
chr1-52118968-52119869,-0.011973585,0.088895924,0.0038459753,0.7557115,-0.39013585,0.034509555,-0.0035983531,-0.0172435,-0.024066202,-0.0076462207,0.32528323,0.082651876,-0.03465085,-0.0009792655,-0.08560845
chr1-52231834-52232658,-0.0087089185,-0.04552009,0.012890793,-0.008186343,0.3669548,-0.1740567,-0.0014859147,-0.013755014,-0.032480344,-0.007421871,0.10681511,0.16980207,0.055374686,-0.009881408,-0.10665317
chr1-52232873-52233722,0.0016314004,0.1747465,0.060622953,-0.17048877,0.07988524,-0.38729295,0.0035332562,0.0013652513,-0.24242853,0.012945357,-0.26482484,0.03811501,-0.0041031805,-0.016521715,-0.1267338
chr1-52500033-52500911,0.006592537,-0.14072509,0.04135807,0.18861914,-0.22864616,-0.0633181,-0.012518785,-0.033629745,0.17532077,-0.009504834,0.023398345,-0.012585141,0.06542391,-0.065497495,-0.013434281
chr1-52726540-52727368,0.0031844394,0.5075726,-0.014603712,-0.57014865,-0.16990706,0.19001047,-0.0038943738,0.0063812262,-0.006818314,-0.0080830725,-0.17460674,-0.009183168,-0.008693396,0.0029319432,0.09544611
chr1-52816952-52817827,0.017741142,-0.03334192,0.016483951,0.1870768,-0.7134737,-0.22762127,0.007834099,-0.011479824,-0.009833066,-0.011550684,0.101157494,0.17216031,0.010021464,-0.054867543,-0.03193435
chr1-52844553-52845413,0.009162951,0.07630061,-0.009027668,0.6121107,-0.30512723,0.216689,-0.0049479785,-0.033650167,-0.21954222,-0.02125954,0.06957535,-0.0051268907,0.0075274766,0.07999876,0.011076376
chr1-52952524-52953430,-0.0065919654,-0.20572183,0.062310185,-0.18791601,0.451894,-0.32778567,0.026822215,-0.015368763,-0.1721041,-0.003177227,-0.24030286,0.011893834,0.2565062,-0.012823006,-0.11475174
chr1-53296597-53297512,0.059219345,0.08062012,-0.048521575,-0.02088882,-0.33103725,0.3538133,-0.019338282,0.15579109,-0.2665731,-0.044698715,0.44331077,-0.01383465,0.021735774,-0.026562676,-0.14245032
chr1-53313161-53314089,-0.0023065202,0.19393766,-0.0024017796,-0.12594362,0.01594311,0.2649414,-0.008889394,-0.0040168585,0.01843142,-0.012804266,-0.03332109,-0.151828,0.0012851326,0.00032082177,0.18582194
chr1-54194450-54195137,-0.04887922,-0.06807137,0.3773035,-0.75310516,0.29520416,-0.3632437,0.0027214116,0.036918513,0.031330466,-0.0107877115,-0.21590969,-0.25224215,0.022111733,0.07608313,0.17951864
chr1-54557187-54558079,0.009611544,0.09938581,-0.01227679,-0.18178575,0.10248135,-0.42568895,0.0051225508,-0.009978213,0.017878674,-0.008634551,-0.1367946,-0.06801495,0.017060865,0.00400055,0.10424336
chr1-55026988-55027845,0.0037238807,0.08636248,-0.0090250205,0.1045537,0.13799785,-0.14061347,-0.0017007858,0.00062054803,-0.016735338,0.000582487,0.07778257,0.067770384,-0.0041566305,-0.008688102,-0.03497833
chr1-55130861-55131696,0.0018210008,0.09726585,-0.007815577,0.2557091,0.08196647,0.24259765,-0.013770812,-0.02734328,0.015994666,-0.0058262167,0.34732336,0.0023847395,0.01066433,-0.0051787,-0.0036595967
chr1-55236951-55237708,-0.003645258,0.2586563,0.0051704743,0.18142067,0.08106785,0.08755729,-0.0031772132,-0.02684274,-0.12784132,0.004157694,-0.10382682,-0.062364873,-0.009950383,0.015199172,-0.014020501
chr1-55405501-55406300,-0.005161246,0.0023097522,-0.019758195,0.09437566,-0.32501578,0.63177294,-0.009065101,-0.0014447701,-0.03639625,-0.033223663,0.13933343,0.34881502,-0.034449656,-0.1457993,-0.31193584
chr1-57377407-57378186,0.0058343383,-0.014927116,0.004159195,-0.24521378,-0.31269434,0.23192446,0.0048797545,0.034903817,-0.20716311,-0.0136310635,-0.16415496,0.18327616,0.0074917274,-0.011528409,0.0055834902
chr1-57406202-57407094,-0.0027851602,0.025598183,-0.0011038501,-0.22034732,-0.2587906,0.37353268,0.002017654,0.0008960019,-0.025545178,0.003333489,-0.14018863,0.09302565,0.01102462,-0.054160234,0.042635147
chr1-58392496-58393415,0.0268289,0.36966848,0.015486523,-0.027043302,-0.22236228,0.1610133,-0.0033359972,-0.08296149,-0.26977876,-0.012777751,-0.10866951,0.2603699,0.044148803,-0.13784333,0.0043759244
chr1-58585852-58586755,0.002260556,0.17356552,0.006988306,-0.1551918,0.27987775,-0.35438886,0.007347369,-0.024642777,-0.107128404,-0.006060957,-0.05498888,0.14988302,0.01292344,0.021395342,-0.07553685
chr1-59119641-59120513,0.0049480046,0.10375377,-0.012175834,0.02748898,-0.48251313,0.20318994,0.0026485375,0.010740773,-0.020624937,-0.0010907335,-0.12936378,-0.045607127,-0.019638352,-0.012281015,0.033128027
chr1-59236832-59237717,-0.015295646,-0.13337448,-0.0048480714,0.056230653,0.050370906,0.16733298,-0.018828982,0.05960548,0.013911653,-0.009962426,0.13563758,-0.35230377,0.12985353,-0.08247038,0.02881227
chr1-59670315-59671185,-0.009595686,-0.03443947,-0.0017980651,0.3659327,-0.4254751,0.04108266,0.0018137633,-0.0026675803,0.06974147,0.0028559705,-0.09922857,0.5179721,0.02734518,-0.14127047,-0.026042098
chr1-60342922-60343858,0.00198732,0.068411656,0.011835103,0.15945394,-0.37310293,-0.07549865,-0.0019107113,-0.0051011164,-0.02842791,0.0032728133,-0.055281553,-0.030862253,-1.0084293e-05,-0.001551544,-0.01569534
chr1-62702897-62703812,0.01663495,-0.034861814,-0.016519908,0.51451194,-0.21073556,-0.24478701,0.0027046604,0.00022133028,-0.49289605,-0.01758395,-0.03721236,0.15868095,-0.02583136,0.05629636,0.032871664
chr1-62706265-62707096,0.0018655969,-0.27465272,0.027717365,0.4040722,0.044339575,-0.07883264,-0.00059816573,0.02150842,-0.302213,-0.010022942,0.27413973,-0.2857376,0.1556608,-0.044141408,-0.13421121
chr1-63176371-63177286,0.0022500055,-0.19061674,0.0038034644,0.29379424,-0.11569645,0.19576037,0.0009795709,-0.012302218,-0.009762607,0.0072422787,-0.06354914,0.015768962,-0.033687793,0.021121636,-0.023653865
chr1-63445445-63446256,-0.010490137,0.18601193,0.20173913,-1.1104047,0.62362903,-0.5585815,0.037667133,-0.0051159007,-0.025821438,-0.0019821613,-0.5770716,-0.036921233,0.12378636,-0.004075075,0.042115226
chr1-64445741-64446604,-0.0037754695,-0.15128069,0.09776701,0.021472005,-0.18084234,-0.22311601,0.009890011,-0.025276065,0.03880434,0.0019965,-0.15529904,0.1942238,0.016924674,-0.0105117755,-0.1682477
chr1-64690519-64691301,-0.011608749,-0.02741177,-0.010530541,0.1159617,0.47035998,0.4552403,-0.03616909,0.022068296,-0.06671313,-0.02077467,0.2547089,-0.025422549,-0.028777752,-0.011446929,-0.03311383
chr1-64737323-64738193,-0.15429902,-0.27207166,-0.08359268,0.50399184,0.32393217,0.47820783,-0.27499935,-0.39032042,0.094689295,-0.00784936,0.20031625,-0.055775367,-0.08538703,-0.17907427,0.363444
chr1-64956345-64957246,-0.11250729,-0.252413,0.012471104,-0.3246629,0.6550772,-0.44414455,0.0030808127,0.14431384,0.31398886,-0.012395158,-0.21291544,-0.08465518,0.040566176,0.0061137867,-0.036168143
chr1-67038331-67039157,0.0012269056,0.21793777,0.0033062,-0.0065079094,0.14521296,-0.17004736,-0.006681128,0.025855834,-0.1630836,-0.011709009,-0.37693512,0.027975725,0.19749153,-0.02863039,0.00077990256
chr1-72283961-72284830,-0.0029163165,0.10926736,0.09666907,-0.80471325,0.29501283,-0.13340451,0.068586856,0.050851997,-0.48744747,0.011865345,-0.13568394,0.11275777,-0.0076555707,-0.0151733365,-0.08728856
chr1-72582869-72583702,-0.0005741831,-0.2581254,-0.0077422014,0.29478043,0.11329093,-0.12325375,-4.2346994e-05,0.0044974783,0.0064905607,-0.0029532965,0.040655665,0.03455159,0.022000773,-0.010864188,-0.027975174
chr1-74303620-74304521,-0.17089997,-0.5128512,0.05460268,0.67204016,-0.8690364,0.8343622,-0.10598236,-0.30784696,0.06885364,-0.059611827,0.017286297,0.048715588,-0.18455744,0.029859638,0.029636728
chr1-74505570-74506421,0.00046815167,-0.1604735,-0.006137955,0.25138322,-0.32273865,0.12629752,-0.0014711779,0.014283789,-0.008521249,0.0058985217,-0.14663969,0.36359543,-0.028404972,-0.02546723,-0.045315538
chr1-74587661-74588488,0.0035902937,-0.031092985,-0.00097058865,-0.14636911,0.017477538,-0.082632214,0.0013696386,0.013964338,-0.046110153,-0.0012559905,-0.14932632,0.0013546458,0.022620639,0.0010429707,-0.015582128
chr1-75142395-75143217,-0.00048099473,0.09234194,0.003936941,0.21170536,-0.3774653,0.27767032,-0.0010277437,0.0036072345,-0.09356509,0.000487532,-0.017988138,-0.007896736,-0.018408827,0.012553271,-0.00924091
chr1-75168330-75169245,0.07882712,-0.25974345,0.0051947404,0.4578645,-0.16354305,-0.11795998,0.020452503,0.025548102,-0.2756609,-0.038640298,0.2817501,0.3486268,-0.12819375,-0.23021974,-0.08505729
chr1-75191507-75192381,0.005980437,-0.013246376,-0.0044543454,0.5158444,0.059026994,0.3444374,-0.020691631,-0.029828364,-0.13640882,-0.0030035244,0.16933294,-0.078831494,-0.0002172075,-0.023441246,0.047684845
chr1-75218868-75219630,-0.038259685,0.0587511,0.016225234,-0.20508808,0.22091316,-0.5102983,0.04620486,0.035812557,-0.013347591,-0.008090933,-0.3424158,-0.24620554,-0.010479321,0.019780478,0.050550252
chr1-76070528-76071436,-0.021540428,0.29107437,-0.074402384,-1.0675012,1.1583297,-1.0265484,-0.09781423,0.6396353,0.3474714,-0.039846573,-0.55771077,0.032195423,0.24234068,0.022834241,0.080912404
chr1-77514765-77515636,-0.027338248,-0.12136771,0.024067672,-0.22771306,0.7978389,-0.48349458,-0.013212637,0.026969194,0.02217903,-0.0019300836,-0.005125296,-0.11317733,0.108007155,0.0033561266,-0.18973769
chr1-78488500-78489429,-0.0006805294,-0.26081628,-0.0037344273,-0.13640203,-0.0066763163,0.27713776,-0.00077411975,0.023665572,0.0006433322,-0.003073595,-0.20713033,-0.0405549,0.030502312,0.01655691,-0.013580242
chr1-79761234-79761940,-0.0072012017,-0.21789958,-0.020593729,0.19619054,0.008669414,0.03958206,-0.02206063,0.0017335236,0.4347301,0.007940005,4.6036555e-05,0.0897572,-0.043521773,0.01576583,-0.022076467
chr1-79858021-79858771,-0.01228926,-0.0887734,-0.17891374,-0.04771743,0.6752644,-0.13481829,-0.025963338,-0.0048507424,0.23172809,-0.0059899804,-0.16803075,-0.18364823,0.09765673,-0.041684054,0.21099786
chr1-82283002-82283860,-0.0063783084,0.109822564,-0.018197173,0.544206,-0.67782474,0.4995974,-0.020618392,-0.30329636,0.19585891,0.00015583262,0.13624915,-0.07905949,-0.054208964,-0.042520236,0.17109999
chr1-82724650-82725511,-0.0021978344,-0.08971477,-0.0012352783,-0.26831758,-0.010901926,0.17022449,0.0054932586,0.008965253,0.050559998,-0.0034915311,0.15579137,-0.030817637,-0.010089684,-0.006214124,-0.011956027
chr1-85895273-85896154,-0.0007671568,-0.10528119,-0.008092992,0.098443665,0.15412778,0.32637805,-0.018979123,-0.011265261,0.07512261,0.0085344175,-0.060186364,0.049685527,0.005335685,-0.14390793,-0.072762
chr1-85916794-85917698,-0.3508873,0.18276317,-0.03710142,-0.7565798,1.5151983,-0.3975306,-0.033098865,-0.02892777,-0.24916565,-0.07730443,-0.41237944,-0.3989176,0.15982145,0.38028574,0.06945896
chr1-86064164-86065039,-0.003988174,-0.03647761,0.008099085,0.41885316,-0.26997775,0.2777777,-0.00054689957,-0.008278391,-0.16026242,0.0011091611,0.16718121,-0.12370005,0.054233335,0.021284886,-0.07667939
chr1-86154233-86155109,-0.0020276771,-0.101818785,0.0019588592,-0.0653728,-0.06348775,-0.06006275,-0.0038986064,0.024782758,0.069781154,-0.0037222542,-0.07932924,0.077182606,0.009232317,0.017561639,-0.012423242
chr1-86582193-86583056,-0.011896681,0.33346915,0.0033412785,-0.07297753,-0.38128498,0.33837608,0.0015594063,0.009696621,0.024429156,0.0049322434,-0.040941976,-0.23397383,0.020845184,-0.06879611,-0.007912715
chr1-87755598-87756460,-0.0072196973,-0.15097341,0.016431144,0.039781127,0.7819164,-0.26442987,0.0027964,-0.07511472,-0.11905606,-0.005700352,-0.08550086,0.083380334,0.023686092,-0.020113064,0.04157418
chr1-87813017-87813836,-0.010262777,-0.28123897,-0.09468151,-0.28178212,1.5008196,-1.034832,-0.027683012,0.06057676,0.15064444,-0.046518747,-0.28554168,-0.0395877,0.12111489,0.27526933,0.16051742
chr1-88277093-88277914,0.004564323,-0.13662629,-0.03318174,0.7536218,-0.35955194,0.30928254,-0.010289503,0.015207418,-0.22313619,-0.001385212,0.310864,-0.21591993,0.006856488,-0.004171905,-0.0062118284
chr1-89069892-89070709,0.017009512,-0.42268944,0.0044300663,0.69314754,-0.21795836,0.10193572,-0.00049556105,-0.03040201,-0.044370204,-0.008323319,0.16510136,0.068206914,-0.040948384,-0.015834976,-0.10234499
chr1-90998333-90999183,0.04007619,0.072845116,-0.017802192,-0.23396267,-0.101485446,-0.29069746,0.02548299,0.33704075,-0.4148612,0.0013771295,-0.19790031,0.014938563,0.07768335,-0.091924265,-0.077853456
chr1-91209342-91210229,-3.161889e-05,0.19491304,0.02410738,0.40956184,-1.4259921,0.15376095,-0.003346535,0.009429423,-0.050438102,-0.0067746975,-0.14259389,-0.0103717875,-0.113662824,0.04250665,0.17100473
chr1-91249790-91250666,0.00047524396,0.0019094836,-0.0054843132,-0.01965231,-0.5439656,0.38858005,0.012290583,0.005536479,-0.024855895,-0.004987497,0.1790782,-0.041610315,-0.020884557,0.009867065,0.0070808777
chr1-91398345-91399189,-0.022423657,0.15499437,-0.03245284,0.61448026,-0.33684972,0.3339826,-0.02613719,-0.0247775,-0.24715377,0.0047297403,0.1235164,-0.30713618,-0.0037750679,0.046600625,0.015088083
chr1-91458947-91459850,-0.0019937246,-0.0090171015,-0.006426501,0.31945547,-0.3298362,-0.13059954,0.0030210111,0.008744792,-0.03239307,0.001385415,-0.05520918,-0.15248834,0.038422283,0.010427628,-0.00095896685
chr1-91494161-91495045,-0.0048020636,-0.37267688,0.04432492,0.06795133,-0.13630956,-0.06749401,-0.003526244,0.015770076,0.042901237,-0.0037679097,0.057209212,0.24733236,-0.011426994,-0.007163868,0.0011092646
chr1-91540078-91541003,0.16609222,0.42664635,-0.038676772,0.30274296,-1.0238018,0.12571914,-0.035024773,0.016646402,-0.37591583,-0.035279643,0.41741487,0.16047713,-0.047416516,-0.18320955,0.007906458
chr1-92473337-92474260,0.012026408,0.38205147,-0.013745414,0.051485687,-0.6649886,0.054243907,0.006333317,-0.021432031,-0.09673878,-0.020251175,-0.053674642,0.19917013,0.020176202,-0.048732407,0.027295234
chr1-92906917-92907636,-0.0027254773,-0.18882415,-0.010698956,0.18238693,0.13784574,0.08258167,-0.0053388225,0.022617355,0.08224569,0.0012828517,0.18624032,-0.04693833,-0.011645398,-0.04443282,-0.037768137
chr1-93101592-93102304,-0.020117437,-0.2630614,0.0030994623,-0.32553682,0.65206337,0.22227925,-0.0026238433,0.008556938,0.07508519,-0.0034276706,-0.19144776,0.2898858,0.00019445363,-0.01365973,-0.0756246
chr1-93343168-93343924,-0.023675606,-0.045451123,-0.024240037,-0.09686864,0.37768197,0.37316257,-0.22940457,-0.04738453,0.1628774,-0.015714852,-0.15365948,0.19795536,-0.09992482,0.48001027,-0.056971125
