,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9
chr1-88277152-88278018,-0.111838095,-0.34660476,-0.20455529,0.20576581,-0.29510194,-0.18541217,0.22104533,0.19519198,0.20167322,-0.0050698207,-0.14583391,0.156414,-0.027217342,0.15889488,0.04772591,-0.025205119,-0.2587273,-0.0063242856
chr1-89921538-89922465,0.15017283,-0.07695054,-0.19009943,0.027331363,0.12725583,0.13356528,0.08141439,0.045354027,-0.24094874,0.022349622,0.13314891,-0.05061153,-0.2999518,-0.10447982,-0.12491352,0.048255663,-0.36155194,0.0037671337
chr1-89926523-89927296,0.04916078,0.15378946,0.10216428,-0.2362321,0.28277248,0.15059333,-0.07259931,-0.25474167,-0.26254427,0.18169768,0.23379281,0.044110738,-0.082890496,-0.15386194,-0.26107392,-0.36248425,-0.091297016,0.038573902
chr1-89939982-89940735,-0.024671922,0.24115013,-0.3190745,-0.22253951,0.33154967,0.29518494,0.15450035,-0.30529502,-0.17411979,0.042454846,0.1627314,0.007753811,-0.24575005,-0.35137343,0.11338206,-0.17045917,-0.018620582,0.026258033
chr1-89941499-89942446,-0.198659,0.07488749,0.1329623,-0.35310042,0.1690328,-0.027998572,0.10149759,0.23110789,-0.18705878,-0.00710961,0.14473002,-0.23554641,-0.026713446,-0.07750849,0.263314,-0.19357471,0.25397646,0.0041790092
chr1-90914793-90915588,-0.26413518,0.015376413,0.17839116,0.33806285,-0.24369721,-0.32814357,0.15121564,-0.2849847,0.28279543,0.018569564,0.21059316,-0.091125235,-0.22930433,0.11090488,-0.25848752,-0.044185553,0.108507395,-0.01592055
chr1-91343706-91344547,-0.12709928,-0.056446824,0.2507914,0.23415272,0.03518887,-0.13370521,-0.24915104,-0.264466,-0.07378396,0.0030085735,-0.11752717,0.21074574,-0.1356779,0.019022468,-0.032914124,0.12232368,-0.21199997,-0.002589685
chr1-91600503-91601328,0.13557962,-0.34412304,-0.12974098,0.05299166,-0.5406097,0.19609605,0.59548795,0.2337404,-0.22375822,0.17136611,-0.24255022,0.3657616,-0.21857654,-0.11581027,-0.007881448,-0.08575443,-0.4491577,-0.024405988
chr1-91802445-91803095,-0.35628963,0.20485035,0.004299854,-0.39921215,0.08059941,0.116180874,0.22213782,0.18196064,-0.07886755,-0.17082968,-0.13338606,-0.05888533,0.063759625,0.017430322,-0.38087454,0.0302844,0.39733344,0.019902233
chr1-93235390-93236191,0.17417438,-0.2583708,-0.3866222,-0.06963743,-0.25553587,-0.26230764,0.6302419,0.3223715,-0.43091235,0.03027077,-0.17045215,0.029171793,0.09892484,-0.018655382,-0.1629979,0.11136223,-0.2548595,-0.0022732695
chr1-118627650-118628535,0.1929202,-0.104472026,0.1408711,0.14381517,-0.40889984,0.013238191,0.31278002,-0.16910514,-0.14543213,-0.056611683,0.15686119,-0.0033803082,0.062241513,0.095077544,-0.18147528,0.0071362876,-0.23433496,-0.013942579
chr1-119077271-119078100,0.058944426,0.11732612,0.052722834,0.45982033,-0.49237534,-0.08287607,0.051725402,-0.055762235,0.009221974,-0.2300264,-0.2298633,-0.14628388,-0.02753686,-0.24968028,0.37787765,0.08301408,0.4011555,-0.036387943
chr1-120006878-120007779,0.18141536,0.030067688,-0.22315006,0.27299175,-0.81877416,-0.042284723,0.29597875,-0.021413434,0.17437682,-0.06254867,-0.17284016,0.266827,0.03699394,-0.24380319,-0.2014253,0.19683681,-0.0130670415,0.00882818
chr1-120264770-120265693,-0.27886584,-0.04703312,0.007150582,-0.098453805,-0.60754526,-0.012776023,0.40494624,0.3135161,0.09954491,-0.14692345,-0.07188197,0.0960918,0.17938311,0.25998077,-0.13192005,0.15706016,-0.2427623,-0.04894692
chr1-120334252-120335098,0.110650405,0.12885313,-0.04666456,0.5632656,-0.55984116,-0.55915225,0.30055708,0.20338033,-0.22999711,0.027616993,-0.1804288,0.13556598,0.2059949,0.34689388,-0.44070578,-0.021920947,-0.25873232,-0.041230846
chr1-120338474-120339134,0.039090365,-0.04798665,-0.13344121,-0.104637265,-0.23565263,0.010702218,-0.14727257,0.27238163,0.3508933,-0.00869238,-0.030034991,-0.028470537,-0.08043125,0.051914684,-0.2614003,-0.02220715,0.27997744,-0.0012005423
chr1-120340269-120341072,0.13758202,0.04752019,0.14517191,-0.10033585,-0.14676867,-0.27863592,0.099647954,0.056848284,0.1642962,0.021796552,0.023495026,-0.16285758,0.17063768,-0.18142724,-0.11245032,0.13143593,0.14241612,-0.020620793
chr1-120466770-120467541,0.35671616,-0.1914888,0.11133747,0.08113108,-0.4434282,-0.106739186,0.51319337,0.08217038,-0.5832136,-0.35511172,0.0051886523,0.1265162,0.28066492,-0.2096982,-0.123683944,0.10936299,0.20854819,0.002809492
chr1-120583307-120584227,-0.071448185,0.16069001,-0.5307356,0.51765656,-0.28422767,0.0078046913,0.027064232,0.22494465,-0.002003109,-0.09358714,0.36555326,0.059488185,0.015864026,-0.2020071,-0.15234156,0.20113641,-0.48675054,-0.022703791
chr1-120619795-120620631,0.05458513,-0.047354843,0.045743,0.19516316,0.035666298,0.02396959,0.2746417,0.09876091,-0.39160782,0.0031069557,-0.18835483,-0.051959425,-0.18447779,-0.022142457,0.04924893,-0.1620346,-0.18890229,0.0028296625
chr1-121177592-121178296,-0.054407943,0.33760062,0.20992066,-0.32249758,0.38831216,-0.026222622,-0.18826988,-0.090926744,-0.37664002,-0.037770946,-0.13921477,0.12191769,0.14095002,-0.025800426,-0.264377,0.0040580686,-0.38500056,0.030830177
chr1-128590724-128591598,0.4159045,0.15245822,-0.66173047,-0.14208339,-0.6811795,-0.26200616,0.30757684,0.29832134,0.28156495,-0.18792121,0.093853675,0.3934078,0.18138236,-0.026308484,-0.3609577,-0.24041168,-0.023390215,0.035143666
chr1-130877822-130878735,-0.3044443,0.04502182,0.29857743,-0.51411676,0.055084813,-0.0007000127,0.16130346,0.17788325,-0.14258711,0.15381293,0.21098663,-0.17626685,0.0660353,-0.019808905,-0.20514698,-0.22632533,0.28527868,-0.0041232635
chr1-132067440-132068257,-0.6717281,-0.10012965,0.5425889,-1.369972,0.39177552,0.46823344,0.4902366,0.0709037,-0.2657255,0.21690086,0.044329632,-0.40307963,-0.2830721,-0.08466272,0.18197815,0.15333778,-0.51090044,0.059658114
chr1-132298507-132299366,-0.061023694,-0.5560861,0.35626245,-0.43726364,0.58995944,0.2849077,-0.5551187,-0.22220193,0.5131185,0.06286923,-0.094538696,-0.20057125,-0.020034252,0.022182377,-0.14053397,-0.18912143,0.20730418,-0.0042405794
chr1-134646271-134647092,0.025392435,0.13999268,0.20706877,-0.36393544,0.39418593,0.18654273,-0.1439223,0.01081929,-0.27703863,0.07287602,-0.42040536,-0.21729177,-0.24280961,-0.015727833,0.25174817,0.021784697,-0.37154853,0.0016844792
chr1-135687539-135688450,0.5950472,-0.15807052,-0.40502807,0.37684992,-0.68840194,-0.8781195,0.70310396,0.32456654,-0.17548841,-0.032037105,-0.25996938,0.3080025,0.15664232,-0.08206006,-0.29799828,-0.15864918,-0.47957823,0.03105657
chr1-135765855-135766776,-0.6368043,0.39918187,-0.49088958,-1.295526,0.13439277,-0.45328435,0.4406487,0.67092955,0.38694987,0.14783973,-0.20596568,-0.13925819,-0.04335023,0.24284935,-0.31453443,-0.3539165,0.22810976,-0.0094129555
chr1-135865285-135866196,-0.7355768,0.002594944,0.25305107,-0.12578996,-0.46195546,-0.27444834,0.515767,0.18459629,0.24098648,0.010252685,-0.093833394,-0.23851958,0.36183527,-0.07239481,0.0013823387,0.1050019,-0.034393217,0.0039908392
chr1-135918610-135919395,-0.26238984,0.05899,0.2163287,-0.0016151853,0.20299691,0.094971314,-0.10473677,0.052961677,-0.30572975,0.021501467,-0.03203079,0.008129151,0.11274996,0.050577812,0.051945336,-0.29094145,-0.039921448,-0.0029306174
chr1-136007438-136008188,0.09501444,0.2906632,0.010331709,0.13996851,0.016424028,-0.123012625,0.22859126,-0.3813398,-0.2956824,0.16102748,-0.0029914926,-0.15035278,-0.07124441,-0.087545715,0.24277714,-0.042337578,-0.16024394,-0.028557872
chr1-136259820-136260694,-0.6126368,-0.17395459,0.5251026,-0.963336,0.6939638,0.37561283,-0.7616735,-0.14693034,0.60102487,-0.009032592,0.051057875,-0.031969186,-0.008999125,-0.2732333,0.12096163,-0.13742416,0.2793248,-0.103805974
chr1-136945471-136946379,0.020273784,0.02855478,0.23691283,-0.24625994,0.042637486,-0.06669483,-0.16169088,-0.34863374,0.16260853,0.06011065,-0.15198308,0.04293309,0.2367251,0.07737309,0.043769564,-0.2126528,-0.12027708,-0.00678187
chr1-136948616-136949514,0.0124136815,0.13660517,-0.13433605,0.02519922,0.09362609,0.05478981,-0.16833651,-0.07240311,0.04334836,0.01002268,-0.16242483,-0.060171604,0.07227453,0.004656421,-0.0114177475,-0.063548505,0.23492531,-0.0006985025
chr1-136952604-136953368,0.1564978,-0.094813086,-0.1594898,-0.03037493,0.2045343,0.32032865,0.20313193,-0.27857852,-0.13652767,-0.22495489,-0.2731432,0.065340735,0.035372503,0.17968325,0.02566433,0.013411955,0.03785647,-0.033889636
chr1-136955289-136956193,-0.098372355,-0.026692273,0.3176694,-0.012090273,-0.105872385,-0.13914779,0.20110713,-0.16292134,0.15509506,-0.25475636,-0.32407558,-0.20321909,0.11340994,0.3651337,-0.13612983,-0.23543003,0.38910463,-0.019604743
chr1-138832436-138833245,-0.12305942,0.33938798,-0.33990017,0.014325478,0.37944147,-0.3322361,-0.006491055,0.0323721,-0.22529323,-0.0105724605,-0.14288098,0.25061062,0.0015576448,0.11377818,-0.20147337,0.11826719,-0.24571484,-0.012235403
chr1-138838078-138838802,-0.19902141,-0.00016794592,0.29831257,-0.39630836,0.36854276,0.080749735,0.21513698,-0.34820905,0.017525768,-0.03048814,0.2957994,0.03619269,0.15976311,0.025383467,-0.14055648,-0.44043377,-0.2485311,-0.023204543
chr1-138841175-138842064,-0.24380963,0.11270318,0.47212696,-0.42066866,0.4223885,-0.011768272,-0.28521585,-0.19581312,-0.13333319,-0.0041137505,0.21794139,-0.24791612,-0.26594546,0.25526983,-0.16764309,0.047275826,0.15201564,-0.0031414106
chr1-138848387-138849213,-0.21917276,0.031480387,0.13617183,0.095356256,0.10623977,0.020658389,-0.16586243,-0.3228925,0.2716617,0.020906743,0.034137025,-0.2369685,-0.08804504,-0.037342746,0.099998385,0.1680779,0.09531071,-0.0022051244
chr1-150993003-150993795,0.08535849,-0.15211207,0.08983944,0.2632215,-0.26494515,-0.009362038,0.14028613,0.054550223,-0.11560488,-0.03366031,-0.12181991,-0.08649252,-0.103176974,0.11208514,-0.076865666,0.097215705,-0.53079736,-0.0013773809
chr1-151570885-151571747,0.11869163,0.10446705,0.18401891,-0.17732571,-0.04167829,0.12013946,0.2112477,0.19021219,-0.6571394,-0.18367687,0.10941172,-0.13176955,0.011122283,-0.05399204,0.108967684,-0.057040535,-0.23657821,0.018450847
chr1-152399644-152400543,-0.31139302,0.17551583,0.11349759,-1.5284704,0.05640992,0.107780896,0.75682694,0.47859862,-0.30781883,-0.26466385,0.14578019,0.16864467,-0.23713279,-0.0009878934,-0.3290896,-0.1157422,-0.03933922,-0.009316398
chr1-153185619-153186467,-0.067271024,-0.26206496,0.28647476,-0.18780966,0.5153683,0.27023622,-0.39930668,-0.19085945,-0.20269273,0.11536036,-0.20794812,0.044732112,-0.030750023,0.010515162,-0.2675947,-0.049592044,0.031708322,-0.00545503
chr1-153652705-153653628,-0.29926285,0.3614079,0.6409105,-0.24035859,0.14857313,0.36675224,-0.7522439,-0.59289813,0.3139201,-0.078411415,0.022074178,0.09909774,-0.17556451,0.12312411,-0.13985789,-0.2855407,0.24321839,-0.003196001
chr1-155737075-155738001,0.06669548,0.17877291,0.19941814,-0.2771448,0.28351983,-5.8378293e-05,-0.20795397,-0.007842485,0.0023960026,-0.1499561,-0.13086769,-0.13058218,-0.20413683,-0.051425442,-0.06788457,0.08831808,0.32715693,0.025552582
chr1-155740769-155741668,-0.00037999233,0.14158314,0.37482804,-0.10973709,0.109911226,0.09389038,0.041183196,-0.5576962,-0.13151251,0.12728186,0.233227,-0.28351623,-0.2794551,-0.1235948,0.23930743,-0.051770434,-0.35280856,-0.0059243105
